sample	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	in_v0.1	in_661k	Run	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name	Species_x	Species_y	HQ	QC
SAMN18823717	4299634	122	35242.9	227650	207	0	0	78488	18	51043	31	25990	53	99.11	0.42	100.0	Neural Network (Specific Model)	11.0	0.903	78488.0	318.52750491159134	4299634.0	0.66	4072.0		Y	N	SRR14296349	gtdb_genomes_reps_r214/database/GCF/000/195/955/GCF_000195955.2_genomic.fna.gz	99.9204	99.8808	99.87	82.0	NA-NA	HIGH	NA-NA	82.0	80.964	17995/18742	99.87	NC_000962.3 Mycobacterium tuberculosis H37Rv, complete genome	Mycobacterium tuberculosis	Mycobacterium tuberculosis	T	Pass
SAMN18823717	4299634	122	35242.9	227650	207	0	0	78488	18	51043	31	25990	53	99.11	0.42	100.0	Neural Network (Specific Model)	11.0	0.903	78488.0	318.52750491159134	4299634.0	0.66	4072.0		Y	N	SRR14296349	gtdb_genomes_reps_r214/database/GCF/001/571/325/GCF_001571325.1_genomic.fna.gz	0.0796	0.1192	97.07	0.065	96.02-98.13	0.065	0.05-0.09	1.0	1.034	728/28284	88.86	NZ_BCTO01000001.1 Delftia tsuruhatensis NBRC 16741, whole genome shotgun sequence	Comamonas tsuruhatensis	Mycobacterium tuberculosis	T	Pass
SAMEA112471141	2339039	51	45863.51	463476	206	0	0	138274	5	108315	9	48484	15	100.0	0.39	100.0	Neural Network (Specific Model)	11.0	0.898	138274.0	317.5916704391127	2339039.0	0.53	2209.0		Y	N	ERR10841076	gtdb_genomes_reps_r214/database/GCF/001/457/455/GCF_001457455.1_genomic.fna.gz	100.0	100.0	98.49	97.0	NA-NA	HIGH	NA-NA	97.0	96.484	6548/10496	98.49	NZ_LN831026.1 Corynebacterium diphtheriae strain NCTC11397 chromosome 1, complete sequence	Corynebacterium diphtheriae	Corynebacterium diphtheriae	T	Pass
SAMN11131610	2125828	131	16227.69	208443	205	0	0	65876	10	40971	17	15260	34	98.73	0.11	99.99	Neural Network (Specific Model)	11.0	0.836	65876.0	274.8296296296296	2125828.0	0.53	2160.0		Y	N	SRR16643913	gtdb_genomes_reps_r214/database/GCF/003/315/235/GCF_003315235.1_genomic.fna.gz	100.0	100.0	99.64	112.0	NA-NA	HIGH	NA-NA	112.0	115.885	8158/9129	99.64	NZ_QNRU01000001.1 Neisseria gonorrhoeae strain DSM 9188 Ga0244522_101, whole genome shotgun sequence	Neisseria gonorrhoeae	Neisseria gonorrhoeae	T	Pass
SAMN22783161	4583429	67	68409.39	538303	243	0	0	259497	6	171324	11	79824	18	99.69	0.08	100.0	Neural Network (Specific Model)	11.0	0.878	259497.0	314.3100865902176	4583429.0	0.52	4273.0		Y	N	SRR16636818	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	98.6	101.0	NA-NA	HIGH	NA-NA	101.0	96.62	13730/21226	98.6	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMEA112464082	4688302	60	78138.37	2015812	217	0	0	685655	2	440316	4	152383	6	99.0	0.14	100.0	Neural Network (Specific Model)	11.0	0.876	685655.0	314.2250229147571	4688302.0	0.52	4364.0		Y	N	ERR10850208	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	99.9665	99.954	99.34	57.0	NA-NA	HIGH	NA-NA	57.0	56.221	17296/21226	99.34	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMEA112464082	4688302	60	78138.37	2015812	217	0	0	685655	2	440316	4	152383	6	99.0	0.14	100.0	Neural Network (Specific Model)	11.0	0.876	685655.0	314.2250229147571	4688302.0	0.52	4364.0		Y	N	ERR10850208	gtdb_genomes_reps_r214/database/GCF/902/859/705/GCF_902859705.1_genomic.fna.gz	0.0335	0.046	100.0	0.019	98.24-102.61	0.019	0.01-0.04	1.0	1.006	637/29658	88.35	NZ_CADIJO010000001.1 Achromobacter deleyi strain LMG 3458 isolate LMG 3458, whole genome shotgun sequence	Achromobacter deleyi	Salmonella enterica	T	Pass
SAMN18191393	4943611	135	36619.34	438719	202	0	0	205968	8	119829	14	40326	26	100.0	0.13	100.0	Neural Network (Specific Model)	11.0	0.876	205968.0	310.5921787709497	4943611.0	0.5	4654.0		Y	N	SRR13870977	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.3	180.0	NA-NA	HIGH	NA-NA	180.0	176.957	9084/21223	97.3	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Pass
SAMN12797760	1740175	87	20002.01	154853	204	0	0	83136	9	57777	13	22042	22	100.0	0.03	100.0	Neural Network (Specific Model)	11.0	0.939	83136.0	292.8060021436227	1740175.0	0.3	1866.0		Y	N	SRR10154184	gtdb_genomes_reps_r214/database/GCF/001/457/695/GCF_001457695.1_genomic.fna.gz	100.0	100.0	98.3	51.0	NA-NA	HIGH	NA-NA	51.0	78.109	4361/7417	98.3	NZ_LN831025.1 Campylobacter jejuni strain NCTC11351 chromosome 1, complete sequence	Campylobacter_D jejuni	Campylobacter_D jejuni	T	Pass
SAMEA111331197	5062077	129	39240.91	398922	200	0	0	121141	12	79768	23	50142	38	100.0	0.13	100.0	Neural Network (Specific Model)	11.0	0.88	121141.0	312.57676958622136	5062077.0	0.51	4761.0		Y	N	ERR10176925	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.41	54.0	NA-NA	HIGH	NA-NA	54.0	55.113	9415/21223	97.41	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Pass
SAMN15933619	5646072	616	9165.7	340634	200	0	0	115481	15	56209	29	14336	62	100.0	0.84	100.0	Neural Network (Specific Model)	11.0	0.876	115481.0	278.50370994940977	5646072.0	0.5	5930.0		Y	N	SRR12541344	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.38	74.0	NA-NA	HIGH	NA-NA	74.0	80.745	9309/21223	97.38	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Pass
SAMN20799475	4684975	58	80775.43	910307	221	0	0	442184	4	265451	7	90534	12	99.48	0.08	100.0	Neural Network (Specific Model)	11.0	0.877	442184.0	309.96903254972875	4684975.0	0.52	4424.0		Y	N	SRR15461270	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	98.48	44.0	NA-NA	HIGH	NA-NA	44.0	44.139	13196/21226	98.48	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMN27589695	5243940	125	41951.52	628507	200	0	0	171849	9	110951	16	55775	29	99.72	0.07	100.0	Neural Network (Specific Model)	11.0	0.875	171849.0	304.1922619047619	5243940.0	0.52	5040.0		Y	N	SRR18761352	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	99.85	40.0	NA-NA	HIGH	NA-NA	40.0	42.651	20246/21226	99.85	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMN28899249	4825999	52	92807.67	1129036	207	0	0	439752	4	405350	6	97390	11	99.72	0.03	100.0	Neural Network (Specific Model)	11.0	0.877	439752.0	310.9837183718372	4825999.0	0.52	4545.0		Y	N	SRR19571310	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	98.99	72.0	NA-NA	HIGH	NA-NA	72.0	72.116	15515/21226	98.99	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMN30861753	5654342	160	35339.64	619390	201	0	0	224993	9	129537	16	39944	29	98.98	0.18	100.0	Neural Network (Specific Model)	11.0	0.878	224993.0	304.2440814828409	5654342.0	0.57	5449.0		Y	N	SRR21595790	gtdb_genomes_reps_r214/database/GCF/000/742/135/GCF_000742135.1_genomic.fna.gz	100.0	100.0	98.98	34.0	NA-NA	HIGH	NA-NA	34.0	33.892	17348/23841	98.98	NZ_KN046818.1 Klebsiella pneumoniae strain ATCC 13883 scaffold1, whole genome shotgun sequence	Klebsiella pneumoniae	Klebsiella pneumoniae	T	Pass
SAMN18618311	4699380	62	75796.45	942991	201	0	0	703325	3	377328	6	110442	10	99.0	0.04	100.0	Neural Network (Specific Model)	11.0	0.877	703325.0	316.488275862069	4699380.0	0.52	4350.0		Y	N	SRR14143865	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	99.48	54.0	NA-NA	HIGH	NA-NA	54.0	54.434	18070/21226	99.48	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMN31207942	4991001	124	40250.01	587947	201	0	0	172496	10	85227	18	39597	34	99.67	0.02	100.0	Neural Network (Specific Model)	11.0	0.869	172496.0	306.28193739424705	4991001.0	0.52	4728.0		Y	N	SRR21838785	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	98.92	57.0	NA-NA	HIGH	NA-NA	57.0	56.523	15157/21226	98.92	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMEA5779735	5834381	147	39689.67	756978	219	0	0	270557	7	198034	11	86541	21	99.03	0.17	100.0	Neural Network (Specific Model)	11.0	0.87	270557.0	304.26476395620176	5834381.0	0.56	5571.0		Y	N	ERR4791515	gtdb_genomes_reps_r214/database/GCF/000/742/135/GCF_000742135.1_genomic.fna.gz	100.0	100.0	99.01	58.0	NA-NA	HIGH	NA-NA	58.0	58.035	17508/23841	99.01	NZ_KN046818.1 Klebsiella pneumoniae strain ATCC 13883 scaffold1, whole genome shotgun sequence	Klebsiella pneumoniae	Klebsiella pneumoniae	T	Pass
SAMN18191403	4877649	198	24634.59	452016	202	0	0	161829	10	73919	19	30654	40	100.0	0.13	100.0	Neural Network (Specific Model)	11.0	0.874	161829.0	305.7756066136998	4877649.0	0.51	4657.0		Y	N	SRR13870966	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.77	189.0	NA-NA	HIGH	NA-NA	189.0	168.812	10560/21223	97.77	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Pass
SAMN18324584	3065314	260	11789.67	180997	200	0	0	39550	23	20361	45	6372	90	99.6	2.56	100.0	Neural Network (Specific Model)	11.0	0.846	39550.0	288.2908485856905	3065314.0	0.38	3005.0		Y	N	SRR13985008	gtdb_genomes_reps_r214/database/GCF/001/544/255/GCF_001544255.1_genomic.fna.gz	100.0	100.0	99.56	37.0	NA-NA	HIGH	NA-NA	37.0	39.192	9301/10679	99.56	NZ_BCQD01000001.1 Enterococcus faecium NBRC 100486, whole genome shotgun sequence	Enterococcus_B faecium	Enterococcus_B faecium	T	Pass
SAMN31902341	3048499	53	57518.85	421458	201	0	0	147609	6	65060	12	38899	23	98.95	0.57	100.0	Neural Network (Specific Model)	11.0	0.9	147609.0	302.1534147146156	3048499.0	0.38	3031.0		Y	N	SRR22438291	gtdb_genomes_reps_r214/database/GCF/000/307/025/GCF_000307025.1_genomic.fna.gz	100.0	100.0	100.0	70.0	NA-NA	HIGH	NA-NA	70.0	70.197	12528/12543	100.0	NC_018584.1 Listeria monocytogenes ATCC 19117, complete sequence	Listeria monocytogenes_B	Listeria monocytogenes_B	T	Pass
SAMN26729449	4718454	69	68383.39	299065	204	0	0	161202	11	129772	17	48816	30	100.0	0.05	100.0	Neural Network (Specific Model)	11.0	0.873	161202.0	300.15510471204186	4718454.0	0.52	4584.0		Y	N	SRR18338286	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	98.45	43.0	NA-NA	HIGH	NA-NA	43.0	44.984	13097/21226	98.45	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMEA5082048	2071770	61	33963.44	267181	201	0	0	106848	6	73412	11	52576	17	100.0	0.37	100.0	Neural Network (Specific Model)	11.0	0.863	106848.0	288.77949709864606	2071770.0	0.4	2068.0		Y	N	ERR3984177	gtdb_genomes_reps_r214/database/GCF/001/457/635/GCF_001457635.1_genomic.fna.gz	100.0	100.0	99.07	102.0	NA-NA	HIGH	NA-NA	102.0	103.777	6430/8578	99.07	NZ_LN831051.1 Streptococcus pneumoniae strain NCTC7465 chromosome 1, complete sequence	Streptococcus pneumoniae	Streptococcus pneumoniae	T	Pass
SAMN12525169	6783755	131	51784.39	365764	211	0	0	158081	15	115397	25	53353	42	100.0	0.1	100.0	Neural Network (Specific Model)	11.0	0.895	158081.0	321.0285216289019	6783755.0	0.66	6311.0		Y	N	SRR9918686	gtdb_genomes_reps_r214/database/GCF/001/457/615/GCF_001457615.1_genomic.fna.gz	100.0	100.0	99.07	61.0	NA-NA	HIGH	NA-NA	61.0	63.203	20311/27151	99.07	NZ_LN831024.1 Pseudomonas aeruginosa strain NCTC10332 chromosome 1, complete sequence	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pass
SAMN20372168	4980993	86	57918.52	1752942	203	0	0	436958	3	337756	6	82194	12	99.67	0.01	100.0	Neural Network (Specific Model)	11.0	0.87	436958.0	323.99820668011654	4980993.0	0.45	4461.0		Y	N	SRR15240102	gtdb_genomes_reps_r214/database/GCF/001/883/995/GCF_001883995.1_genomic.fna.gz	1.1728	1.25	97.9	1.032	97.82-97.98	1.032	1.00-1.07	1.0	1.679	8101/23907	96.57	NZ_MACE01000001.1 Bacillus paranthracis strain Mn5 contig1, whole genome shotgun sequence	Bacillus_A paranthracis	unknown	F	Pass
SAMN20372168	4980993	86	57918.52	1752942	203	0	0	436958	3	337756	6	82194	12	99.67	0.01	100.0	Neural Network (Specific Model)	11.0	0.87	436958.0	323.99820668011654	4980993.0	0.45	4461.0		Y	N	SRR15240102	gtdb_genomes_reps_r214/database/GCF/900/460/535/GCF_900460535.1_genomic.fna.gz	98.8272	98.75	98.63	87.0	NA-NA	HIGH	NA-NA	87.0	87.926	14274/21879	98.63	NZ_UHIL01000004.1 Vibrio parahaemolyticus strain NCTC10903, whole genome shotgun sequence	Vibrio parahaemolyticus	unknown	F	Pass
SAMN17165830	4430985	199	22266.26	135824	203	0	0	52467	29	30544	51	14724	89	100.0	0.73	100.0	Neural Network (Specific Model)	11.0	0.881	52467.0	308.43773674242425	4430985.0	0.51	4224.0		Y	N	SRR13309386	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.23	14.036	NA-NA	HIGH	NA-NA	13.0	14.036	8875/21223	97.23	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Pass
SAMN11847696	2368655	73	32447.33	147067	207	0	0	70410	13	56844	20	22427	33	100.0	0.22	99.79	Neural Network (Specific Model)	11.0	0.875	70410.0	351.7919633774161	2368655.0	0.6	1966.0		Y	N	SRR9274783	gtdb_genomes_reps_r214/database/GCF/000/196/555/GCF_000196555.1_genomic.fna.gz	100.0	100.0	99.02	174.0	NA-NA	HIGH	NA-NA	174.0	176.805	7353/9990	99.02	NC_015067.1 Bifidobacterium longum subsp. longum JCM 1217, complete sequence	Bifidobacterium longum	Bifidobacterium longum	T	Pass
SAMN13178751	5267752	174	30274.44	553046	202	0	0	234723	8	118477	14	37771	28	99.89	0.73	100.0	Neural Network (Specific Model)	11.0	0.878	234723.0	308.7788	5267752.0	0.5	5000.0		Y	N	SRR10385124	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.04	43.0	NA-NA	HIGH	NA-NA	43.0	43.338	15758/21223	99.04	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Pass
SAMN26725028	5575886	411	13566.63	187517	201	0	0	91359	21	41813	39	15512	80	100.0	0.13	100.0	Neural Network (Specific Model)	11.0	0.87	91359.0	286.4281167108753	5575886.0	0.51	5655.0		Y	N	SRR18338237	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.3	31.0	NA-NA	HIGH	NA-NA	31.0	31.801	9093/21223	97.3	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Pass
SAMD00247520	2199711	119	18484.97	215983	207	0	0	55282	12	34646	23	13790	44	98.79	0.11	99.99	Neural Network (Specific Model)	11.0	0.838	55282.0	274.99776686020545	2199711.0	0.52	2239.0		Y	N	DRR248393	gtdb_genomes_reps_r214/database/GCF/003/315/235/GCF_003315235.1_genomic.fna.gz	100.0	100.0	99.77	99.0	NA-NA	HIGH	NA-NA	99.0	108.864	8499/9129	99.77	NZ_QNRU01000001.1 Neisseria gonorrhoeae strain DSM 9188 Ga0244522_101, whole genome shotgun sequence	Neisseria gonorrhoeae	Neisseria gonorrhoeae	T	Pass
SAMN22561265	4703706	39	120607.85	1508437	221	0	0	479043	3	310742	5	153350	9	99.09	0.06	100.0	Neural Network (Specific Model)	11.0	0.873	479043.0	309.93217273343885	4703706.0	0.52	4423.0		Y	N	SRR16563512	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	99.01	56.0	NA-NA	HIGH	NA-NA	56.0	56.309	15612/21226	99.01	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMN12421773	4623414	69	67006.0	966607	200	0	0	390544	4	154108	7	67008	16	99.4	0.09	100.0	Neural Network (Specific Model)	11.0	0.874	390544.0	311.78997227356746	4623414.0	0.52	4328.0		Y	N	SRR9879904	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	98.5	83.0	NA-NA	HIGH	NA-NA	83.0	80.797	13284/21226	98.5	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMN18648391	4380678	130	33697.52	204961	217	0	0	123210	14	86079	23	40057	36	99.11	0.79	100.0	Neural Network (Specific Model)	11.0	0.904	123210.0	320.9769696969697	4380678.0	0.66	4125.0		Y	N	SRR14164920	gtdb_genomes_reps_r214/database/GCF/000/195/955/GCF_000195955.2_genomic.fna.gz	100.0	100.0	99.97	90.0	NA-NA	HIGH	NA-NA	90.0	89.286	18591/18742	99.97	NC_000962.3 Mycobacterium tuberculosis H37Rv, complete genome	Mycobacterium tuberculosis	Mycobacterium tuberculosis	T	Pass
SAMN21618539	4930600	101	48817.82	538461	208	0	0	212062	7	171876	12	77436	21	100.0	0.1	100.0	Neural Network (Specific Model)	11.0	0.872	212062.0	303.6332699217924	4930600.0	0.52	4731.0		Y	N	SRR16057862	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	98.48	38.0	NA-NA	HIGH	NA-NA	38.0	37.995	13191/21226	98.48	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMN33939011	4895684	83	58984.14	773004	200	0	0	494801	4	310308	7	111932	13	100.0	0.06	100.0	Neural Network (Specific Model)	11.0	0.875	494801.0	311.5017414018285	4895684.0	0.52	4594.0		Y	N	SRR23981058	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	99.38	37.0	NA-NA	HIGH	NA-NA	37.0	37.02	17520/21226	99.38	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMEA7564022	4336868	165	26284.05	176037	217	0	0	61597	21	40641	39	19460	68	99.05	0.5	100.0	Neural Network (Specific Model)	11.0	0.904	61597.0	316.60357747159776	4336868.0	0.66	4137.0		Y	N	ERR4831707	gtdb_genomes_reps_r214/database/GCF/000/195/955/GCF_000195955.2_genomic.fna.gz	100.0	100.0	99.93	75.0	NA-NA	HIGH	NA-NA	75.0	73.949	18318/18742	99.93	NC_000962.3 Mycobacterium tuberculosis H37Rv, complete genome	Mycobacterium tuberculosis	Mycobacterium tuberculosis	T	Pass
SAMN19101962	4706260	52	90505.0	790854	206	0	0	479366	4	225908	7	122905	13	99.09	0.07	100.0	Neural Network (Specific Model)	11.0	0.873	479366.0	309.1422132071219	4706260.0	0.52	4437.0		Y	N	SRR14482404	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	99.05	48.0	NA-NA	HIGH	NA-NA	48.0	48.233	15809/21226	99.05	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMN30871555	5503137	97	56733.37	314315	203	0	0	152323	13	125553	21	60007	32	98.95	0.11	100.0	Neural Network (Specific Model)	11.0	0.882	152323.0	315.8468433359314	5503137.0	0.57	5132.0		Y	N	SRR21595926	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	0.0375	0.0335	99.02	0.111	98.48-99.54	0.111	0.09-0.13	1.0	1.056	1687/21226	92.16	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Klebsiella pneumoniae	T	Pass
SAMN30871555	5503137	97	56733.37	314315	203	0	0	152323	13	125553	21	60007	32	98.95	0.11	100.0	Neural Network (Specific Model)	11.0	0.882	152323.0	315.8468433359314	5503137.0	0.57	5132.0		Y	N	SRR21595926	gtdb_genomes_reps_r214/database/GCF/000/742/135/GCF_000742135.1_genomic.fna.gz	99.9314	99.9415	99.12	296.0	NA-NA	HIGH	NA-NA	296.0	288.439	18128/23841	99.12	NZ_KN046818.1 Klebsiella pneumoniae strain ATCC 13883 scaffold1, whole genome shotgun sequence	Klebsiella pneumoniae	Klebsiella pneumoniae	T	Pass
SAMN30871555	5503137	97	56733.37	314315	203	0	0	152323	13	125553	21	60007	32	98.95	0.11	100.0	Neural Network (Specific Model)	11.0	0.882	152323.0	315.8468433359314	5503137.0	0.57	5132.0		Y	N	SRR21595926	gtdb_genomes_reps_r214/database/GCF/001/729/745/GCF_001729745.1_genomic.fna.gz	0.0213	0.0179	96.32	0.063	95.25-98.00	0.063	0.04-0.09	1.0	1.015	402/20199	88.13	NZ_CP017186.1 Enterobacter hormaechei subsp. hoffmannii strain DSM 14563 chromosome, complete genome	Enterobacter hormaechei_A	Klebsiella pneumoniae	T	Pass
SAMN30871555	5503137	97	56733.37	314315	203	0	0	152323	13	125553	21	60007	32	98.95	0.11	100.0	Neural Network (Specific Model)	11.0	0.882	152323.0	315.8468433359314	5503137.0	0.57	5132.0		Y	N	SRR21595926	gtdb_genomes_reps_r214/database/GCF/009/759/685/GCF_009759685.1_genomic.fna.gz	0.0098	0.0071	98.85	0.029	96.94-100.48	0.029	0.02-0.05	1.0	0.97	365/17043	88.34	NZ_CP046654.1 Acinetobacter baumannii strain ATCC 19606 chromosome, complete genome	Acinetobacter baumannii	Klebsiella pneumoniae	T	Pass
SAMN19670102	5161387	113	45675.99	621741	221	0	0	222565	6	161703	11	75430	20	100.0	1.03	100.0	Neural Network (Specific Model)	11.0	0.88	222565.0	307.97114993904916	5161387.0	0.51	4922.0		Y	N	SRR14788817	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	98.92	83.0	NA-NA	HIGH	NA-NA	83.0	79.314	15145/21223	98.92	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Pass
SAMEA111362783	2749942	43	63952.14	716469	207	0	0	509703	3	341457	4	87133	7	100.0	0.05	100.0	Neural Network (Specific Model)	11.0	0.838	509703.0	301.7324440957238	2749942.0	0.33	2549.0		Y	N	ERR10212128	gtdb_genomes_reps_r214/database/GCF/001/027/105/GCF_001027105.1_genomic.fna.gz	100.0	100.0	99.33	57.0	NA-NA	HIGH	NA-NA	57.0	56.789	9655/11892	99.33	NZ_CP011526.1 Staphylococcus aureus strain DSM 20231 chromosome, complete genome	Staphylococcus aureus	Staphylococcus aureus	T	Pass
SAMEA13293911	4360050	136	32059.19	296766	200	0	0	98764	16	61549	27	26810	48	99.05	0.45	100.0	Neural Network (Specific Model)	11.0	0.904	98764.0	321.1138746647159	4360050.0	0.66	4101.0		Y	N	ERR9119821	gtdb_genomes_reps_r214/database/GCF/000/195/955/GCF_000195955.2_genomic.fna.gz	100.0	100.0	99.95	96.0	NA-NA	HIGH	NA-NA	96.0	95.429	18446/18742	99.95	NC_000962.3 Mycobacterium tuberculosis H37Rv, complete genome	Mycobacterium tuberculosis	Mycobacterium tuberculosis	T	Pass
SAMEA112254101	2199318	129	17048.98	207909	208	0	0	79840	9	45672	17	18694	32	98.7	0.12	99.98	Neural Network (Specific Model)	11.0	0.839	79840.0	272.98758865248226	2199318.0	0.52	2256.0		Y	N	ERR10687043	gtdb_genomes_reps_r214/database/GCF/003/315/235/GCF_003315235.1_genomic.fna.gz	100.0	100.0	99.73	26.0	NA-NA	HIGH	NA-NA	26.0	26.945	8388/9129	99.73	NZ_QNRU01000001.1 Neisseria gonorrhoeae strain DSM 9188 Ga0244522_101, whole genome shotgun sequence	Neisseria gonorrhoeae	Neisseria gonorrhoeae	T	Pass
SAMN14048932	4908620	75	65448.27	1110015	224	0	0	430463	4	386358	6	86673	12	98.89	0.02	100.0	Neural Network (Specific Model)	11.0	0.875	430463.0	305.9048431832729	4908620.0	0.52	4687.0		Y	N	SRR11032261	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	99.02	42.0	NA-NA	HIGH	NA-NA	42.0	41.775	15637/21226	99.02	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
