sample	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n	Sample	Species
SAMEA110471320	4007138	925	4332.04	58807	200	0	0	8984	126	5404	241	2387	461	SAMEA110471320	Escherichia coli
SAMN03702859	548762	787	697.28	6712	214	0	0	775	223	521	396	395	640	SAMN03702859	Escherichia coli
SAMEA110354795	6356350	622	10219.21	242530	207	0	0	36753	43	20698	88	5770	203	SAMEA110354795	Escherichia coli
SAMEA115084416	7958515	6159	1292.18	44139	200	0	0	2175	790	1066	1828	480	4171	SAMEA115084416	Escherichia coli
SAMN32414727	6288023	1264	4974.7	91663	200	0	0	18249	92	8675	190	1836	492	SAMN32414727	Escherichia coli
SAMEA110355442	5260707	118	44582.26	625841	201	0	0	372908	6	234080	9	84296	17	SAMEA110355442	Escherichia coli
SAMN02801863	3079892	646	4767.63	50359	211	0	0	7152	129	4780	236	2511	411	SAMN02801863	Escherichia coli
SAMEA111270560	6773772	2535	2672.1	154864	204	0	0	6912	200	2931	506	1074	1293	SAMEA111270560	Escherichia coli
SAMN30242930	6178031	1404	4400.31	156320	200	0	0	25496	66	10374	143	1760	421	SAMN30242930	Escherichia coli
SAMN13245801	10140899	10098	1004.25	59073	200	0	0	1998	980	781	2654	363	6483	SAMN13245801	Escherichia coli
SAMEA111271396	6065161	805	7534.36	200408	223	0	0	31912	51	14513	106	3007	275	SAMEA111271396	Escherichia coli
SAMN16662960	1721782	605	2845.92	26854	222	0	0	3950	128	2707	234	1357	405	SAMN16662960	Escherichia coli
SAMN24579066	166353	153	1087.27	11433	208	0	0	2798	16	958	40	368	98	SAMN24579066	Escherichia coli
SAMEA110363072	5532058	491	11266.92	174422	202	0	0	42710	38	22630	73	5430	174	SAMEA110363072	Escherichia coli
SAMEA110363073	7633088	9589	796.03	41573	200	0	0	1225	1392	636	3136	315	6547	SAMEA110363073	Escherichia coli
SAMEA5698447	6780867	2252	3011.04	108450	201	0	0	14857	128	8031	250	2031	547	SAMEA5698447	Escherichia coli
SAMN07761857	173484	206	842.16	7898	202	0	0	904	49	613	96	443	164	SAMN07761857	Escherichia coli
SAMEA111273374	6447088	266	24237.17	223916	200	0	0	85464	27	52605	46	20652	83	SAMEA111273374	Escherichia coli
SAMEA111270104	5768022	3348	1722.83	115298	202	0	0	6097	211	2658	502	592	1429	SAMEA111270104	Escherichia coli
SAMEA110406071	7908712	8481	932.52	94406	200	0	0	2104	813	921	1968	286	5055	SAMEA110406071	Escherichia coli
SAMEA111270653	9733101	6820	1427.14	62379	201	0	0	7710	299	2655	705	409	3278	SAMEA111270653	Escherichia coli
SAMN07738626	4929698	1410	3496.24	48892	205	0	0	6122	217	3533	430	1473	857	SAMN07738626	Escherichia coli
SAMN30728639	5797059	2437	2378.77	81798	200	0	0	17828	101	9066	191	1563	456	SAMN30728639	Escherichia coli
SAMEA1531006	6242578	2765	2257.71	79926	200	0	0	9090	162	4111	363	666	1061	SAMEA1531006	Escherichia coli
SAMEA1031261	6206857	3550	1748.41	59225	200	0	0	5688	262	2787	564	533	1488	SAMEA1031261	Escherichia coli
SAMEA111270832	6261363	2819	2221.13	101881	202	0	0	7929	178	3518	411	946	1077	SAMEA111270832	Escherichia coli
SAMN13932426	346766	37	9372.05	59218	448	0	0	28145	4	10640	9	5090	18	SAMN13932426	Escherichia coli
SAMEA9478654	11669082	12255	952.19	92179	200	0	0	2021	1151	777	3097	334	7565	SAMEA9478654	Escherichia coli
SAMEA8903711	4499178	4257	1056.89	6591	200	0	0	1499	957	969	1701	515	2954	SAMEA8903711	Escherichia coli
SAMN19845040	1818546	643	2828.22	32926	261	0	0	3771	152	2540	272	1376	465	SAMN19845040	Escherichia coli
SAMN03922987	6086613	1712	3555.26	58277	200	200	2	14561	125	8885	231	2964	460	SAMN03922987	Escherichia coli
SAMEA110355190	10064916	5305	1897.25	91687	200	0	0	19537	145	9167	290	462	1818	SAMEA110355190	Escherichia coli
SAMEA3981674	7188003	1422	5054.85	63254	201	200	2	10625	173	5274	363	1830	837	SAMEA3981674	Escherichia coli
SAMEA7584654	7153263	2343	3053.04	65838	203	0	0	6709	265	3311	569	1390	1251	SAMEA7584654	Escherichia coli
SAMN23405798	2574001	391	6583.12	67158	206	0	0	9292	77	5731	148	3333	263	SAMN23405798	Escherichia coli
SAMEA7584694	5901204	819	7205.38	284960	200	0	0	45937	33	26094	68	5188	159	SAMEA7584694	Escherichia coli
SAMN02228533	4079175	2114	1929.6	30502	200	0	0	3938	284	2213	564	902	1135	SAMN02228533	Escherichia coli
SAMN20959674	6443856	6157	1046.59	109269	200	0	0	2519	586	1169	1336	319	3427	SAMN20959674	Escherichia coli
SAMEA115464647	3566294	867	4113.37	23595	218	0	0	5581	209	3882	362	2154	602	SAMEA115464647	Escherichia coli
SAMEA104128300	6903445	5394	1279.84	44432	200	0	0	2699	631	1293	1374	432	3291	SAMEA104128300	Escherichia coli
SAMEA6240769	8096504	3537	2289.09	83552	202	0	0	5838	308	2561	731	796	1866	SAMEA6240769	Escherichia coli
SAMEA111274329	2893834	91	31800.37	222535	393	0	0	75983	12	46603	22	18371	41	SAMEA111274329	Escherichia coli
SAMN12600059	9772454	10606	921.41	40930	200	0	0	1643	1292	820	2992	313	6853	SAMN12600059	Escherichia coli
SAMEA18881668	1525399	519	2939.11	30756	218	0	0	4488	80	2437	176	1252	351	SAMEA18881668	Escherichia coli
SAMEA9333798	8710427	9828	886.29	71246	202	0	0	2053	729	759	2214	277	6059	SAMEA9333798	Escherichia coli
SAMN17165458	2494694	1937	1287.92	56315	206	0	0	1823	383	1190	718	605	1289	SAMN17165458	Escherichia coli
SAMN23492949	989852	1553	637.38	5671	200	0	0	873	360	560	648	292	1138	SAMN23492949	Escherichia coli
SAMEA3981013	6579881	1726	3812.21	66765	200	0	0	14682	127	7333	251	1403	650	SAMEA3981013	Escherichia coli
SAMEA111505420	9801219	6032	1624.87	72696	200	0	0	9920	244	4173	546	405	2587	SAMEA111505420	Escherichia coli
SAMN15502200	4123001	378	10907.41	132264	223	0	0	21998	48	11253	99	4920	207	SAMN15502200	Escherichia coli
SAMEA8571108	8807663	10862	810.87	89111	200	0	0	1619	1158	716	2834	255	6958	SAMEA8571108	Escherichia coli
SAMN13932422	124311	36	3453.08	34254	392	0	0	6291	5	4156	10	1525	21	SAMN13932422	Escherichia coli
SAMN20065356	10380949	5681	1827.31	70984	202	0	0	11864	223	5182	481	466	2133	SAMN20065356	Escherichia coli
SAMEA2003371	2843039	1233	2305.79	34542	206	0	0	4188	200	2560	374	1117	702	SAMEA2003371	Escherichia coli
SAMN35152283	1364172	231	5905.51	61117	200	0	0	13870	31	9639	54	4356	95	SAMN35152283	Escherichia coli
SAMEA4415598	3848995	1378	2793.17	36583	200	0	0	5619	201	3462	376	1531	702	SAMEA4415598	Escherichia coli
SAMN07676763	240339	76	3162.36	47060	206	0	0	7065	6	4157	15	1219	36	SAMN07676763	Escherichia coli
SAMEA20197168	2523014	1054	2393.75	31017	284	0	0	3105	222	2073	424	1114	752	SAMEA20197168	Escherichia coli
SAMEA111273410	9010474	8527	1056.7	67788	200	0	0	2436	780	905	2021	370	5105	SAMEA111273410	Escherichia coli
SAMN11897596	6535568	5875	1112.44	54979	200	0	0	2526	611	1127	1394	357	3462	SAMN11897596	Escherichia coli
SAMN35734006	5667321	5017	1129.62	18225	201	0	0	2119	800	1268	1492	412	2917	SAMN35734006	Escherichia coli
SAMEA8570833	5493432	536	10248.94	299796	202	0	0	90102	22	47792	38	12805	77	SAMEA8570833	Escherichia coli
SAMEA7584629	9569980	5610	1705.88	65915	201	0	0	5856	366	2207	895	562	2828	SAMEA7584629	Escherichia coli
SAMEA4415584	287478	156	1842.81	25644	235	0	0	2927	21	1307	52	759	111	SAMEA4415584	Escherichia coli
SAMEA5616016	6607132	853	7745.76	211794	203	0	0	27268	62	14671	127	3311	308	SAMEA5616016	Escherichia coli
SAMN13024412	5586012	332	16825.34	784078	201	0	0	230851	8	113209	15	12888	49	SAMN13024412	Escherichia coli
SAMEA18879418	3778686	1284	2942.9	35883	230	0	0	3833	302	2712	536	1429	912	SAMEA18879418	Escherichia coli
SAMN22569618	5644186	574	9833.08	261518	205	0	0	33884	47	19286	92	5823	195	SAMN22569618	Escherichia coli
SAMN35734014	5629022	4748	1185.56	15357	200	0	0	2268	727	1350	1365	457	2702	SAMN35734014	Escherichia coli
SAMN24337807	4743449	2660	1783.25	13611	200	0	0	2870	488	1767	910	809	1687	SAMN24337807	Escherichia coli
SAMN19845062	4160100	923	4507.15	26696	265	0	0	6266	201	4207	363	2203	630	SAMN19845062	Escherichia coli
SAMN31714880	7479794	8220	909.95	53482	200	0	0	1409	1103	718	2621	362	5654	SAMN31714880	Escherichia coli
SAMEA111505326	6053997	2920	2073.29	74521	200	0	0	10345	140	3090	349	656	1252	SAMEA111505326	Escherichia coli
SAMN17165904	3348401	2510	1334.02	11754	206	0	0	1992	500	1270	921	645	1645	SAMN17165904	Escherichia coli
SAMN32509150	5357333	2029	2640.38	37051	200	0	0	4505	325	2664	633	1211	1217	SAMN32509150	Escherichia coli
SAMD00254129	171935	55	3126.09	68506	542	0	0	34324	2	6581	4	767	30	SAMD00254129	Escherichia coli
SAMN32919509	4074107	676	6026.79	66317	309	0	0	9242	126	5842	236	2730	432	SAMN32919509	Escherichia coli
SAMEA7457207	9735357	3771	2581.64	172184	200	0	0	25095	116	11593	226	652	1027	SAMEA7457207	Escherichia coli
SAMN12374383	5267926	2174	2423.15	41151	200	0	0	7135	217	3768	416	938	949	SAMN12374383	Escherichia coli
SAMN17165333	3089751	2672	1156.34	10883	206	0	0	1575	591	1056	1068	583	1834	SAMN17165333	Escherichia coli
SAMN08039642	5027296	91	55245.01	382638	216	0	0	185821	9	131020	15	59562	26	SAMN08039642	Escherichia coli
SAMEA8903649	4416131	4768	926.2	5324	200	0	0	1289	1090	851	1930	441	3350	SAMEA8903649	Escherichia coli
SAMEA3322088	7953448	3615	2200.12	44691	200	0	0	5771	347	3084	721	869	1659	SAMEA3322088	Escherichia coli
SAMEA7584445	7528989	7426	1013.87	57004	202	0	0	2104	804	1022	1836	334	4302	SAMEA7584445	Escherichia coli
SAMN09232606	5518008	2807	1965.8	34139	200	0	0	5532	282	2966	550	620	1311	SAMN09232606	Escherichia coli
SAMEA5075932	4665571	2228	2094.06	30036	201	0	0	3580	348	2027	691	836	1400	SAMEA5075932	Escherichia coli
SAMN05734370	7380551	3860	1912.06	52963	200	0	0	4854	388	2447	820	660	1933	SAMN05734370	Escherichia coli
SAMEA5098348	9307517	6885	1351.85	52189	200	0	0	2997	682	1278	1638	528	4060	SAMEA5098348	Escherichia coli
SAMEA6424487	6655901	1089	6111.94	212329	200	0	0	44822	40	18801	86	3350	247	SAMEA6424487	Escherichia coli
SAMN24603892	5570178	2549	2185.24	34990	200	0	0	7450	207	4020	412	961	938	SAMN24603892	Escherichia coli
SAMN36349191	666745	141	4728.69	53794	204	0	0	11617	14	5827	30	2220	68	SAMN36349191	Escherichia coli
SAMEA7817553	7348129	5658	1298.71	52844	200	0	0	2907	561	1405	1293	497	3088	SAMEA7817553	Escherichia coli
SAMN16560043	722162	740	975.89	9605	248	0	0	1573	129	875	253	380	506	SAMN16560043	Escherichia coli
SAMEA111273973	6828199	1323	5161.15	111613	201	0	0	16339	106	8181	225	1864	588	SAMEA111273973	Escherichia coli
SAMEA6422454	8913290	10882	819.09	85254	202	0	0	1707	934	645	2733	271	6999	SAMEA6422454	Escherichia coli
SAMN14734118	6096159	680	8964.94	177721	220	0	0	40403	41	17859	84	3020	261	SAMN14734118	Escherichia coli
SAMEA6422393	9383073	11730	799.92	77059	201	0	0	1622	1047	641	2981	262	7607	SAMEA6422393	Escherichia coli
SAMN21361114	6151998	782	7867.01	308536	209	0	0	43723	36	20384	76	2253	267	SAMN21361114	Escherichia coli
SAMEA10200447	7805447	10157	768.48	55767	202	0	0	1459	1128	692	2704	230	6657	SAMEA10200447	Escherichia coli
SAMN16422296	1402472	551	2545.32	19242	305	0	0	3449	123	2176	226	1254	394	SAMN16422296	Escherichia coli
SAMEA4686123	6182920	1067	5794.68	213845	200	0	0	36422	46	15257	96	2351	268	SAMEA4686123	Escherichia coli
SAMN17165908	2048277	1439	1423.4	10664	206	0	0	2166	283	1414	515	677	921	SAMN17165908	Escherichia coli
SAMEA111271626	5437213	1014	5362.14	149093	200	0	0	20379	65	9931	144	2250	362	SAMEA111271626	Escherichia coli
SAMN41594180	7631727	6627	1151.61	108227	200	0	0	2216	733	1054	1754	404	4163	SAMN41594180	Escherichia coli
SAMN20550153	221385	132	1677.16	32008	230	0	0	3956	14	1816	32	643	73	SAMN20550153	Escherichia coli
SAMN04388525	7913832	11291	700.9	24991	200	0	0	1824	942	729	2352	215	7569	SAMN04388525	Escherichia coli
SAMEA111271390	9173571	10017	915.8	42613	200	0	0	1978	959	762	2501	313	6259	SAMEA111271390	Escherichia coli
SAMN39912579	111566	12	9297.17	36397	376	0	0	22078	2	20249	3	4821	5	SAMN39912579	Escherichia coli
SAMEA111267772	6306715	992	6357.58	302556	201	0	0	25172	67	12576	136	2297	357	SAMEA111267772	Escherichia coli
SAMN34372481	3909996	470	8319.14	94832	212	0	0	19619	58	12827	107	4179	209	SAMN34372481	Escherichia coli
SAMEA7469752	10152142	4951	2050.52	114353	200	0	0	20769	130	9030	278	514	1549	SAMEA7469752	Escherichia coli
SAMN04393270	5300503	561	9448.31	111477	200	0	0	33840	50	19753	92	9130	167	SAMN04393270	Escherichia coli
SAMEA6507340	6378676	3151	2024.33	78184	201	0	0	7555	221	4141	451	768	1126	SAMEA6507340	Escherichia coli
SAMN19334706	429822	244	1761.57	11559	708	0	0	1976	66	1387	118	924	191	SAMN19334706	Escherichia coli
SAMEA4686151	9366922	5382	1740.42	98945	200	0	0	7550	282	2897	674	537	2536	SAMEA4686151	Escherichia coli
SAMEA5076006	4713489	2343	2011.73	23331	201	0	0	3384	368	1879	746	812	1499	SAMEA5076006	Escherichia coli
SAMD00321095	8807137	179	49201.88	584124	200	0	0	235733	13	160319	22	51566	40	SAMD00321095	Escherichia coli
SAMEA104165334	7142657	7825	912.8	67489	200	0	0	2295	592	802	1686	287	4792	SAMEA104165334	Escherichia coli
SAMEA7591056	6554069	1153	5684.36	269218	201	0	0	34095	48	14686	106	2326	299	SAMEA7591056	Escherichia coli
SAMN30415849	7413812	7182	1032.28	34164	200	0	0	2268	813	1036	1778	336	4426	SAMN30415849	Escherichia coli
SAMEA111271028	6864731	2835	2421.42	67361	200	0	0	7511	237	3376	512	767	1391	SAMEA111271028	Escherichia coli
SAMEA20131918	2177514	754	2887.95	21709	232	0	0	3990	158	2537	296	1422	525	SAMEA20131918	Escherichia coli
SAMN04393259	5624714	228	24669.8	747690	200	200	2	157935	11	94660	20	32887	42	SAMN04393259	Escherichia coli
SAMEA3981412	7107669	2616	2717.0	65821	205	0	0	6480	260	3089	575	924	1408	SAMEA3981412	Escherichia coli
SAMN41560765	278520	158	1762.78	22459	251	0	0	5982	13	2706	28	530	80	SAMN41560765	Escherichia coli
SAMEA20175418	4004898	802	4993.64	65532	213	0	0	7199	164	4683	301	2382	535	SAMEA20175418	Escherichia coli
SAMN06015059	6880274	2002	3436.7	92213	200	0	0	10644	161	5754	337	1395	812	SAMN06015059	Escherichia coli
SAMN35126906	1737737	278	6250.85	71191	209	0	0	13654	34	7777	67	3791	129	SAMN35126906	Escherichia coli
SAMN40991106	100984	255	396.02	1894	201	0	0	504	67	259	126	233	207	SAMN40991106	Escherichia coli
SAMEA2054460	3115841	1080	2885.04	33060	249	0	0	4485	189	2700	368	1379	683	SAMEA2054460	Escherichia coli
SAMN30414045	6654179	4662	1427.32	32494	202	0	0	3618	468	1757	998	520	2442	SAMN30414045	Escherichia coli
SAMN41330209	3778284	1156	3268.41	95315	209	0	0	4822	212	3145	408	1546	737	SAMN41330209	Escherichia coli
SAMN14437706	6069348	2673	2270.61	86774	200	0	0	8297	162	3228	394	767	1193	SAMN14437706	Escherichia coli
SAMN35126922	2831516	679	4170.13	45041	201	0	0	13561	65	7871	119	3032	231	SAMN35126922	Escherichia coli
SAMN10085461	7305259	4174	1750.18	44947	200	500	5	3041	536	1481	1238	648	2792	SAMN10085461	Escherichia coli
SAMN09228505	6299350	1632	3859.9	109201	200	0	0	15196	102	6668	228	1476	605	SAMN09228505	Escherichia coli
SAMEA112764163	5821607	405	14374.34	259149	224	0	0	75845	22	34587	46	12904	98	SAMEA112764163	Escherichia coli
SAMEA104165108	6549272	972	6737.93	141125	200	0	0	25328	62	13169	133	3634	312	SAMEA104165108	Escherichia coli
SAMN07197412	117972	4	29493.0	104655	731	0	0	104655	1	104655	1	7073	2	SAMN07197412	Escherichia coli
SAMEA4469922	6724216	2270	2962.21	59082	200	0	0	7741	228	4089	463	1085	1110	SAMEA4469922	Escherichia coli
SAMN07738684	4815415	1603	3004.0	35405	210	0	0	4897	268	2813	524	1282	1024	SAMN07738684	Escherichia coli
SAMN21464933	2114225	1213	1742.97	10610	223	0	0	2003	338	1452	587	930	951	SAMN21464933	Escherichia coli
SAMEA9478677	6093699	705	8643.54	331038	326	0	0	58308	21	24110	54	4104	172	SAMEA9478677	Escherichia coli
SAMN20429853	5567329	2111	2637.29	59978	200	0	0	10051	138	4459	306	996	846	SAMN20429853	Escherichia coli
SAMEA5076023	4933372	2230	2212.27	42068	200	0	0	3920	320	2199	660	864	1368	SAMEA5076023	Escherichia coli
SAMEA111271883	8155574	4184	1949.23	51400	201	0	0	4761	393	2176	917	712	2197	SAMEA111271883	Escherichia coli
SAMEA104165359	8674836	6977	1243.35	61033	200	0	0	2552	614	1017	1729	441	4425	SAMEA104165359	Escherichia coli
SAMEA4607722	9675394	6252	1547.57	48329	200	0	0	5485	421	1970	1002	529	3212	SAMEA4607722	Escherichia coli
SAMN11849047	1455444	345	4218.68	33812	359	0	0	6200	74	4004	134	2194	229	SAMN11849047	Escherichia coli
SAMEA5957615	3730272	740	5040.91	69018	227	0	0	6953	158	4521	292	2525	510	SAMEA5957615	Escherichia coli
SAMN06015505	6919163	5064	1366.34	45302	200	0	0	3574	447	1604	1021	402	2866	SAMN06015505	Escherichia coli
SAMEA111270953	5752340	676	8509.38	275812	202	0	0	78537	21	38917	41	6125	107	SAMEA111270953	Escherichia coli
SAMN35126857	3191364	861	3706.58	111488	200	0	0	19486	47	12399	90	2906	194	SAMN35126857	Escherichia coli
SAMN30415926	5914734	3967	1490.98	53652	201	0	0	4708	307	2346	658	394	1855	SAMN30415926	Escherichia coli
SAMN32772435	352284	267	1319.42	8863	344	0	0	1422	77	1035	135	748	215	SAMN32772435	Escherichia coli
SAMN28102173	4838420	362	13365.8	327353	200	0	0	105654	15	62330	26	22994	51	SAMN28102173	Escherichia coli
SAMEA5786786	5544770	1556	3563.48	41069	200	0	0	9708	180	5626	329	2021	640	SAMEA5786786	Escherichia coli
SAMN36012086	10530331	12224	861.45	108464	200	0	0	1684	1237	688	3267	310	7892	SAMN36012086	Escherichia coli
SAMN06318802	5336159	875	6098.47	84052	200	0	0	13591	109	8014	208	3379	411	SAMN06318802	Escherichia coli
SAMN06006272	9082173	821	11062.33	157504	201	0	0	27730	84	13925	179	5673	379	SAMN06006272	Escherichia coli
SAMN32155872	7611136	5093	1494.43	59227	200	0	0	2733	593	1354	1394	524	3295	SAMN32155872	Escherichia coli
SAMN02782266	3626618	1787	2029.44	13052	227	0	0	2534	460	1783	804	1028	1326	SAMN02782266	Escherichia coli
SAMEA7469913	11203510	11469	976.85	61448	200	0	0	3053	716	853	2181	295	6729	SAMEA7469913	Escherichia coli
SAMEA7356876	8576378	10818	792.79	52674	200	0	0	1817	827	632	2572	251	7017	SAMEA7356876	Escherichia coli
SAMEA7584267	6258031	931	6721.84	370543	202	0	0	26532	55	12877	122	2400	328	SAMEA7584267	Escherichia coli
SAMN36841477	6325424	4443	1423.68	471721	200	0	0	97068	18	46013	36	243	1626	SAMN36841477	Escherichia coli
SAMEA8606867	6086181	11397	534.02	32502	200	0	0	621	2201	388	4717	250	8666	SAMEA8606867	Escherichia coli
SAMN10068458	8528447	7907	1078.59	65685	201	0	0	2033	803	906	2074	370	5124	SAMN10068458	Escherichia coli
SAMN29870584	3547153	110	32246.85	327799	202	0	0	105630	11	77185	19	31584	33	SAMN29870584	Escherichia coli
SAMN00013268	462116	751	615.33	6704	227	0	0	616	267	500	433	417	635	SAMN00013268	Escherichia coli
SAMEA6424990	7513656	7573	992.16	85946	200	0	0	3109	547	1139	1361	265	4245	SAMEA6424990	Escherichia coli
SAMEA112275594	9532679	5364	1777.16	48877	200	0	0	3533	575	1607	1389	616	3336	SAMEA112275594	Escherichia coli
SAMEA112764390	6776486	1386	4889.24	87155	202	0	0	11030	146	4997	330	1768	794	SAMEA112764390	Escherichia coli
SAMN14491056	568745	418	1360.63	33921	203	0	0	1830	71	1061	153	595	297	SAMN14491056	Escherichia coli
SAMEA104292817	9436907	111	85017.18	724707	201	0	0	306023	10	188115	19	88853	33	SAMEA104292817	Escherichia coli
SAMEA20146168	3103332	1244	2494.64	21475	210	0	0	3108	285	2154	524	1233	901	SAMEA20146168	Escherichia coli
SAMEA104288099	8844521	7075	1250.11	48367	200	0	0	4374	403	1229	1164	398	4009	SAMEA104288099	Escherichia coli
SAMEA104369966	7367748	3263	2257.97	57395	201	0	0	6185	301	2712	665	867	1581	SAMEA104369966	Escherichia coli
SAMD00254135	174100	60	2901.67	106213	441	0	0	106213	1	6265	3	703	34	SAMD00254135	Escherichia coli
SAMN18061170	4342841	1784	2434.33	49695	200	0	0	10442	113	5507	226	1239	538	SAMN18061170	Escherichia coli
SAMEA9477090	7169167	1269	5649.46	392563	203	0	0	22227	74	10118	173	2207	454	SAMEA9477090	Escherichia coli
SAMEA111271793	5507817	594	9272.42	275245	202	0	0	68131	22	35094	45	6098	128	SAMEA111271793	Escherichia coli
SAMEA6107538	9336860	6500	1436.44	62274	200	0	0	3193	601	1321	1525	556	3854	SAMEA6107538	Escherichia coli
SAMN06018843	8445868	8319	1015.25	56328	200	0	0	1812	926	826	2313	363	5571	SAMN06018843	Escherichia coli
SAMN35152295	4204585	1579	2662.82	49175	200	0	0	10833	110	6034	213	1561	476	SAMN35152295	Escherichia coli
SAMN17165535	4026172	1589	2533.78	26739	207	0	0	4223	275	2659	515	1216	957	SAMN17165535	Escherichia coli
SAMEA111270686	9229772	9267	995.98	62776	200	0	0	2195	833	865	2186	340	5626	SAMEA111270686	Escherichia coli
SAMN40372527	5930239	912	6502.46	152281	202	0	0	49665	35	21715	69	3043	218	SAMN40372527	Escherichia coli
SAMN16811097	2912999	359	8114.2	56102	706	0	0	11146	79	8135	140	3923	240	SAMN16811097	Escherichia coli
SAMN41448921	8587813	9054	948.51	48246	200	0	0	2059	821	829	2156	328	5652	SAMN41448921	Escherichia coli
SAMEA3982294	7519965	1540	4883.09	77062	202	0	0	13156	156	7204	310	2049	682	SAMEA3982294	Escherichia coli
SAMEA110354076	8831257	12888	685.23	41038	202	0	0	1265	1379	572	3529	223	8925	SAMEA110354076	Escherichia coli
SAMEA9333906	9274562	4695	1975.41	54174	200	0	0	4386	457	1901	1102	681	2835	SAMEA9333906	Escherichia coli
SAMEA8900015	124888	67	1864.0	29611	223	0	0	4482	7	2645	14	527	38	SAMEA8900015	Escherichia coli
SAMEA7457080	8014659	9303	861.51	50509	203	0	0	1581	1012	748	2537	293	5889	SAMEA7457080	Escherichia coli
SAMN03922998	7467664	7714	968.07	43524	200	100	1	3489	509	1400	1181	216	4213	SAMN03922998	Escherichia coli
SAMN13932431	158899	172	923.83	9879	201	0	0	2631	16	889	37	288	102	SAMN13932431	Escherichia coli
SAMEA111272758	6176100	832	7423.2	223517	203	0	0	39597	38	17350	85	4237	229	SAMEA111272758	Escherichia coli
SAMEA115667439	5743443	526	10919.09	551507	200	0	0	55406	27	30364	55	7423	127	SAMEA115667439	Escherichia coli
SAMN26797091	6547218	4592	1425.79	244742	200	0	0	69946	28	28125	58	254	1813	SAMN26797091	Escherichia coli
SAMN30416402	9221798	7905	1166.58	31943	200	0	0	2390	912	1140	2042	472	4621	SAMN30416402	Escherichia coli
SAMEA5616144	9481624	6486	1461.86	72893	200	0	0	5895	362	1687	948	493	3388	SAMEA5616144	Escherichia coli
SAMN35769041	8940984	8723	1024.99	38403	200	0	0	2267	886	945	2116	317	5267	SAMN35769041	Escherichia coli
SAMEA5622752	9848434	4596	2142.83	66846	200	0	0	14735	183	6471	381	583	1599	SAMEA5622752	Escherichia coli
SAMEA18695668	3867758	890	4345.8	40470	201	0	0	6094	195	4121	349	2173	604	SAMEA18695668	Escherichia coli
SAMN03922988	7334450	8480	864.91	28626	200	0	0	2856	607	1140	1428	216	5037	SAMN03922988	Escherichia coli
SAMN30414382	6328946	1356	4667.36	95470	201	0	0	19189	95	9900	187	2562	421	SAMN30414382	Escherichia coli
SAMN17165245	4165054	2542	1638.49	17101	206	0	0	2784	417	1654	809	722	1567	SAMN17165245	Escherichia coli
SAMEA5616253	9035255	9381	963.14	95026	201	0	0	4209	397	777	1505	283	5508	SAMEA5616253	Escherichia coli
SAMN03922952	6491095	4429	1465.59	40553	200	300	3	5670	293	2857	607	478	1607	SAMN03922952	Escherichia coli
SAMN21238944	5155493	350	14729.98	328633	202	0	0	119243	14	74013	25	20390	47	SAMN21238944	Escherichia coli
SAMN27992945	7806536	8351	934.8	52486	200	0	0	1914	867	881	2065	315	5207	SAMN27992945	Escherichia coli
SAMEA6422595	10091285	7087	1423.91	107949	201	0	0	7208	329	2515	796	420	3452	SAMEA6422595	Escherichia coli
SAMN23844315	11730682	21183	553.78	32549	200	0	0	834	2696	371	7001	223	15822	SAMN23844315	Escherichia coli
SAMEA115097329	9824678	8702	1129.01	91907	200	0	0	3741	565	1242	1464	354	5046	SAMEA115097329	Escherichia coli
SAMN07197419	128323	10	12832.3	76514	235	0	0	76514	1	39009	2	39009	2	SAMN07197419	Escherichia coli
SAMN14279028	8767431	9981	878.41	68482	200	0	0	1570	1107	710	2802	294	6585	SAMN14279028	Escherichia coli
SAMEA5075790	4819420	1146	4205.43	47945	206	0	0	8597	159	4891	308	1827	627	SAMEA5075790	Escherichia coli
SAMN07679185	466180	223	2090.49	17818	201	0	0	4322	28	2306	58	961	120	SAMN07679185	Escherichia coli
SAMN03922935	5462986	984	5551.82	141846	201	200	2	19824	84	13695	151	5331	272	SAMN03922935	Escherichia coli
SAMEA4607700	6075113	800	7593.89	348446	203	0	0	78073	20	47024	40	6540	102	SAMEA4607700	Escherichia coli
SAMEA6422605	7975048	4938	1615.04	108588	202	0	0	3185	572	1711	1259	643	2785	SAMEA6422605	Escherichia coli
SAMN16443714	871147	293	2973.2	16922	212	0	0	5833	51	3621	89	1634	158	SAMN16443714	Escherichia coli
SAMEA115372074	9521497	2904	3278.75	97417	202	0	0	14205	163	6755	355	944	1217	SAMEA115372074	Escherichia coli
SAMEA5616287	5799720	563	10301.46	435552	202	0	0	46192	36	26208	69	6557	153	SAMEA5616287	Escherichia coli
SAMN35126911	2113762	1211	1745.47	32312	201	0	0	6016	99	3300	191	814	444	SAMN35126911	Escherichia coli
SAMN31676759	5458694	472	11565.03	133391	202	0	0	44791	39	27751	71	12012	131	SAMN31676759	Escherichia coli
SAMEA111271393	9197941	12544	733.25	47974	200	0	0	1329	1316	603	3491	238	8420	SAMEA111271393	Escherichia coli
SAMN05928448	3884086	228	17035.46	435101	206	0	0	125368	9	57463	17	7726	59	SAMN05928448	Escherichia coli
SAMN32147114	4249995	576	7378.46	85276	202	0	0	11416	104	7275	199	3618	354	SAMN32147114	Escherichia coli
