sample	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	in_v0.1	in_661k	Run	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name	Species_x	Species_y	HQ	QC	QC_Prediction
SAMEA104370208	5386858	155	34753.92	619359	202	0	0	373519	6	316016	9	105237	17	100.0	6.11	100.0	Neural Network (Specific Model)	11.0	0.879	373519.0	309.66287952987267	5386858.0	0.51	5105.0		Y	N	ERR3062080	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.12	34.0	NA-NA	HIGH	NA-NA	34.0	34.053	16156/21223	99.12	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Pass
SAMEA110363104	4996168	309	16168.83	210787	200	0	0	66505	22	41442	42	16212	80	99.76	0.16	100.0	Neural Network (Specific Model)	11.0	0.875	66505.0	297.1788187372709	4996168.0	0.51	4910.0		Y	N	ERR9955015	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.41	57.0	NA-NA	HIGH	NA-NA	57.0	56.909	9421/21223	97.41	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN12500168	397405	229	1735.39	15102	220	0	0	2063	51	1339	99	850	175	9.2	0.0	7.69	Neural Network (Specific Model)	11.0	0.82	2063.0	179.90774299835255	397405.0	0.49	607.0		Y	N	SRR9902616	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.33	4.568	NA-NA	HIGH	NA-NA	4.0	4.568	9177/21223	97.33	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA112275594	9532679	5364	1777.16	48877	200	0	0	3533	575	1607	1389	616	3336	97.88	53.06	99.98	Neural Network (Specific Model)	11.0	0.882	3533.0	220.28217588963787	9532679.0	0.51	12758.0		Y	N	ERR10712291	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	98.97	105.0	NA-NA	HIGH	NA-NA	105.0	87.261	15398/21223	98.97	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMN12500165	5723645	1703	3360.92	66464	201	0	0	11338	130	6752	258	1916	550	98.4	5.55	100.0	Neural Network (Specific Model)	11.0	0.867	11338.0	248.88483483483483	5723645.0	0.5	6660.0		Y	N	SRR9902619	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	98.38	7.558	NA-NA	HIGH	NA-NA	7.0	7.558	12788/21223	98.38	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMN12500112	3236503	786	4117.69	28879	274	0	0	5724	172	3749	312	2034	542	68.34	0.96	66.47	Neural Network (Specific Model)	11.0	0.877	5724.0	259.3902572523262	3236503.0	0.51	3654.0		Y	N	SRR9902637	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.34	6.074	NA-NA	HIGH	NA-NA	6.0	6.074	9214/21223	97.34	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMD00321095	8807137	179	49201.88	584124	200	0	0	235733	13	160319	22	51566	40	100.0	88.71	100.0	Neural Network (Specific Model)	11.0	0.881	235733.0	311.034093637455	8807137.0	0.54	8330.0		Y	N	DRR294266	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.34	59.0	NA-NA	HIGH	NA-NA	59.0	59.262	9205/21223	97.34	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA110008741	4422095	453	9761.8	80637	201	0	0	28526	50	15594	90	5584	183	99.85	0.44	100.0	Neural Network (Specific Model)	11.0	0.861	28526.0	280.36087243886317	4422095.0	0.51	4539.0		Y	N	ERR9828923	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	96.9	75.0	NA-NA	HIGH	NA-NA	75.0	79.885	8005/21223	96.9	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Fail
SAMN12860496	4577019	105	43590.66	414025	203	0	0	112869	12	78669	21	32390	39	100.0	0.17	100.0	Neural Network (Specific Model)	11.0	0.88	112869.0	312.9182960893855	4577019.0	0.51	4296.0		Y	N	SRR10209691	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.29	54.0	NA-NA	HIGH	NA-NA	54.0	53.678	9063/21223	97.29	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN12533183	7522937	8264	910.33	39360	200	0	0	1481	1103	724	2587	349	5745	100.0	20.23	92.48	Gradient Boost (General Model)	11.0	0.88	1481.0	167.20767835550183	7522937.0	0.51	13232.0		Y	N	SRR9972656	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	98.45	45.0	NA-NA	HIGH	NA-NA	45.0	38.939	13095/21223	98.45	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMN16787801	5022331	96	52315.95	421779	202	0	0	347510	7	233017	10	82785	18	99.95	0.98	100.0	Neural Network (Specific Model)	11.0	0.881	347510.0	313.6557724957555	5022331.0	0.51	4712.0		Y	N	SRR14629606	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.17	65.0	NA-NA	HIGH	NA-NA	65.0	64.063	16401/21223	99.17	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMD00179457	4857907	82	59242.77	431810	216	0	0	183735	8	135967	14	90602	22	100.0	0.1	100.0	Neural Network (Specific Model)	11.0	0.881	183735.0	311.89000436490613	4857907.0	0.5	4582.0		Y	N	DRR184759	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.29	59.0	NA-NA	HIGH	NA-NA	59.0	57.711	9065/21223	97.29	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMEA12944077	5428542	247	21977.9	613603	202	0	0	132756	11	64418	22	26432	46	99.82	0.25	100.0	Neural Network (Specific Model)	11.0	0.874	132756.0	305.18612716763005	5428542.0	0.5	5190.0		Y	N	ERR8651449	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.46	56.0	NA-NA	HIGH	NA-NA	56.0	57.385	9553/21223	97.46	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN31969690	182892	75	2438.56	66749	394	0	0	29726	2	1943	10	740	41	7.38	0.0	5.56	Neural Network (Specific Model)	11.0	0.843	29726.0	198.43846153846152	182892.0	0.5	260.0		Y	N	SRR22480110	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.28	7.438	NA-NA	HIGH	NA-NA	7.0	7.438	9032/21223	97.28	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMD00243952	5032246	1473	3416.32	72058	204	0	0	5322	242	3310	480	1460	932	91.21	3.06	88.47	Neural Network (Specific Model)	11.0	0.859	5322.0	234.8004553585949	5032246.0	0.49	6149.0		Y	N	DRR242145	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.38	38.0	NA-NA	HIGH	NA-NA	38.0	38.592	9317/21223	97.38	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA8899971	165819	80	2072.74	15569	223	0	0	4138	11	2387	21	752	47	5.35	0.02	5.45	Neural Network (Specific Model)	11.0	0.791	4138.0	191.67248908296943	165819.0	0.47	229.0		Y	N	ERR6005392	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	96.91	5.924	NA-NA	HIGH	NA-NA	6.0	5.924	8019/21223	96.91	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA4644912	4816287	108	44595.25	399552	200	0	0	157060	11	99134	18	40431	33	100.0	0.05	100.0	Neural Network (Specific Model)	11.0	0.88	157060.0	310.57506584723444	4816287.0	0.51	4556.0		Y	N	ERR7420621	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.35	61.0	NA-NA	HIGH	NA-NA	61.0	60.675	9239/21223	97.35	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN07676763	240339	76	3162.36	47060	206	0	0	7065	6	4157	15	1219	36	6.75	0.01	5.01	Neural Network (Specific Model)	11.0	0.837	7065.0	213.75873015873017	240339.0	0.48	315.0		Y	N	SRR6068481	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.04	7.161	NA-NA	HIGH	NA-NA	7.0	7.161	15725/21223	99.04	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMN16663549	9713131	7278	1334.59	89290	200	0	0	2610	754	1235	1861	513	4410	96.88	59.82	97.69	Neural Network (Specific Model)	11.0	0.881	2610.0	200.0161515871906	9713131.0	0.51	14302.0		Y	N	SRR13001294	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.03	28.0	NA-NA	HIGH	NA-NA	28.0	27.427	15670/21223	99.03	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMN30728639	5797059	2437	2378.77	81798	200	0	0	17828	101	9066	191	1563	456	98.73	2.25	100.0	Neural Network (Specific Model)	11.0	0.86	17828.0	241.76455218464216	5797059.0	0.51	6889.0		Y	N	SRR21629124	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	98.12	12.425	NA-NA	HIGH	NA-NA	12.0	12.425	11779/21223	98.12	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMN22245338	5434554	471	11538.33	346817	200	0	0	121313	13	75380	25	14146	55	100.0	0.38	100.0	Neural Network (Specific Model)	11.0	0.873	121313.0	279.5332510142882	5434554.0	0.5	5669.0		Y	N	SRR16313001	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.25	33.0	NA-NA	HIGH	NA-NA	33.0	32.912	8937/21223	97.25	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMEA5622046	5003146	153	32700.3	224859	202	0	0	114181	16	90821	26	38203	44	99.19	1.59	100.0	Neural Network (Specific Model)	11.0	0.881	114181.0	311.9164546225615	5003146.0	0.51	4716.0		Y	N	ERR4035481	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.1	41.0	NA-NA	HIGH	NA-NA	41.0	40.457	16013/21223	99.1	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMEA8272009	6120600	2267	2699.87	81131	202	0	0	9215	179	4988	358	1165	826	100.0	12.06	100.0	Neural Network (Specific Model)	11.0	0.881	9215.0	240.65258655259993	6120600.0	0.5	7481.0		Y	N	ERR9629755	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.78	42.0	NA-NA	HIGH	NA-NA	42.0	42.43	19834/21223	99.78	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMN12438411	4722095	52	90809.52	628858	223	0	0	334120	6	268970	9	88280	16	100.0	0.16	100.0	Neural Network (Specific Model)	11.0	0.882	334120.0	316.20263816238344	4722095.0	0.51	4397.0		Y	N	SRR9914213	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.31	58.0	NA-NA	HIGH	NA-NA	58.0	57.988	9116/21223	97.31	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMEA8701268	11770947	11311	1040.66	65249	200	0	0	4990	437	951	1525	295	6333	100.0	58.69	100.0	Neural Network (Specific Model)	11.0	0.879	4990.0	179.16915268282577	11770947.0	0.51	19308.0		Y	N	ERR9845465	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.52	36.0	NA-NA	HIGH	NA-NA	36.0	38.75	18267/21223	99.52	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA8811156	4465112	542	8238.21	88311	202	0	0	23465	57	13983	106	5055	206	100.0	0.0	100.0	Neural Network (Specific Model)	11.0	0.862	23465.0	286.88913673879097	4465112.0	0.51	4483.0		Y	N	ERR5975949	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.04	104.0	NA-NA	HIGH	NA-NA	104.0	105.101	8368/21223	97.04	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Fail
SAMEA5740979	8874126	5727	1549.52	84886	200	0	0	3483	533	1563	1302	583	3235	100.0	49.81	100.0	Neural Network (Specific Model)	11.0	0.882	3483.0	212.4476035743298	8874126.0	0.51	12310.0		Y	N	ERR4578824	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.24	30.0	NA-NA	HIGH	NA-NA	30.0	30.336	16735/21223	99.24	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA4686151	9366922	5382	1740.42	98945	200	0	0	7550	282	2897	674	537	2536	100.0	54.98	100.0	Neural Network (Specific Model)	11.0	0.883	7550.0	222.36863281564337	9366922.0	0.51	12427.0		Y	N	ERR3469114	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.34	26.0	NA-NA	HIGH	NA-NA	26.0	27.612	17259/21223	99.34	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMN14279028	8767431	9981	878.41	68482	200	0	0	1570	1107	710	2802	294	6585	100.0	40.16	99.98	Neural Network (Specific Model)	11.0	0.878	1570.0	164.3576996805112	8767431.0	0.51	15650.0		Y	N	SRR11234989	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.86	97.0	NA-NA	HIGH	NA-NA	97.0	90.755	10852/21223	97.86	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA4686123	6182920	1067	5794.68	213845	200	0	0	36422	46	15257	96	2351	268	100.0	10.47	100.0	Neural Network (Specific Model)	11.0	0.875	36422.0	280.0892746435214	6182920.0	0.5	6452.0		Y	N	ERR3469086	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.34	24.0	NA-NA	HIGH	NA-NA	24.0	22.365	17279/21223	99.34	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA5616253	9035255	9381	963.14	95026	201	0	0	4209	397	777	1505	283	5508	100.0	37.61	99.99	Neural Network (Specific Model)	11.0	0.883	4209.0	174.11588431154925	9035255.0	0.51	15317.0		Y	N	ERR4457486	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.78	72.0	NA-NA	HIGH	NA-NA	72.0	68.325	10597/21223	97.78	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA5611100	4636821	47	98655.77	912549	201	0	0	589226	4	531435	5	106030	9	100.0	0.77	100.0	Neural Network (Specific Model)	11.0	0.887	589226.0	322.6938631554197	4636821.0	0.51	4253.0		Y	N	ERR3328882	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	98.89	87.0	NA-NA	HIGH	NA-NA	87.0	87.735	15004/21223	98.89	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMEA8899937	3330927	259	12860.72	64531	223	0	0	22124	48	15061	86	7419	147	84.41	0.01	78.77	Neural Network (Specific Model)	11.0	0.88	22124.0	292.9350688210652	3330927.0	0.51	3342.0		Y	N	ERR6005670	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.02	7.694	NA-NA	HIGH	NA-NA	7.0	7.694	8308/21223	97.02	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA10300602	5033670	99	50845.15	934214	206	0	0	319289	5	152015	10	72808	19	99.89	0.84	100.0	Neural Network (Specific Model)	11.0	0.88	319289.0	310.49202685690307	5033670.0	0.51	4766.0		Y	N	ERR10766791	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	98.95	47.0	NA-NA	HIGH	NA-NA	47.0	47.378	15324/21223	98.95	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN20125891	5219461	170	30702.71	378384	204	0	0	149618	11	109191	19	36388	35	100.0	0.07	100.0	Neural Network (Specific Model)	11.0	0.879	149618.0	302.25897435897434	5219461.0	0.51	5070.0		Y	N	SRR15076459	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.31	54.0	NA-NA	HIGH	NA-NA	54.0	54.264	9111/21223	97.31	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN32964210	5479122	514	10659.77	252389	200	0	0	104236	18	68280	30	19021	59	99.85	0.21	100.0	Neural Network (Specific Model)	11.0	0.871	104236.0	280.59091709206126	5479122.0	0.5	5681.0		Y	N	SRR23279163	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.42	87.0	NA-NA	HIGH	NA-NA	87.0	85.734	9453/21223	97.42	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Fail
SAMEA10301681	4938466	211	23405.05	366261	202	0	0	103120	15	61055	27	25859	51	99.98	0.29	100.0	Neural Network (Specific Model)	11.0	0.874	103120.0	306.82456887374923	4938466.0	0.51	4697.0		Y	N	ERR10767129	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.42	36.0	NA-NA	HIGH	NA-NA	36.0	36.804	9443/21223	97.42	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMEA5786924	4808651	128	37567.59	431829	206	0	0	169417	10	102009	18	40811	32	100.0	0.34	100.0	Neural Network (Specific Model)	11.0	0.881	169417.0	310.2728668567668	4808651.0	0.51	4559.0		Y	N	ERR3531369	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.32	39.0	NA-NA	HIGH	NA-NA	39.0	39.951	9153/21223	97.32	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMEA104292817	9436907	111	85017.18	724707	201	0	0	306023	10	188115	19	88853	33	99.98	74.51	100.0	Neural Network (Specific Model)	11.0	0.89	306023.0	320.8968753576743	9436907.0	0.52	8737.0		Y	N	ERR2909924	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.11	49.0	NA-NA	HIGH	NA-NA	49.0	46.325	16106/21223	99.11	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMN24386984	6076333	1328	4575.55	124738	201	0	0	17511	88	7984	193	1967	486	99.11	8.22	100.0	Neural Network (Specific Model)	11.0	0.878	17511.0	263.6369690691135	6076333.0	0.5	6757.0		Y	N	SRR17327792	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	98.79	47.0	NA-NA	HIGH	NA-NA	47.0	47.889	14555/21223	98.79	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA5970175	5146302	158	32571.53	358071	213	0	0	128237	12	77044	22	37083	42	100.0	0.42	100.0	Neural Network (Specific Model)	11.0	0.873	128237.0	304.5415228426396	5146302.0	0.5	4925.0		Y	N	ERR3549269	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.47	32.0	NA-NA	HIGH	NA-NA	32.0	32.709	9591/21223	97.47	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMEA5611871	4790281	194	24692.17	494588	211	0	0	125143	12	92025	21	37663	37	100.0	0.12	100.0	Neural Network (Specific Model)	11.0	0.882	125143.0	309.8123901581722	4790281.0	0.51	4552.0		Y	N	ERR3330367	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.24	54.0	NA-NA	HIGH	NA-NA	54.0	55.321	8911/21223	97.24	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN30497349	5452109	370	14735.43	357302	201	0	0	135712	13	76813	24	23279	48	100.0	0.31	100.0	Neural Network (Specific Model)	11.0	0.876	135712.0	289.0558375634518	5452109.0	0.51	5516.0		Y	N	SRR21199677	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.38	27.0	NA-NA	HIGH	NA-NA	27.0	26.998	9317/21223	97.38	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMEA8903699	446638	402	1111.04	9252	205	0	0	1852	64	907	132	441	287	8.91	0.0	8.88	Neural Network (Specific Model)	11.0	0.786	1852.0	142.01081730769232	446638.0	0.46	832.0		Y	N	ERR6006228	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.34	3.857	NA-NA	HIGH	NA-NA	3.0	3.857	9205/21223	97.34	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA8808496	4780793	627	7624.87	108327	200	0	0	23704	58	14085	111	5020	218	100.0	0.38	100.0	Neural Network (Specific Model)	11.0	0.858	23704.0	280.0443581357318	4780793.0	0.51	4892.0		Y	N	ERR5962031	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.07	107.0	NA-NA	HIGH	NA-NA	107.0	108.147	8451/21223	97.07	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Fail
SAMN30414382	6328946	1356	4667.36	95470	201	0	0	19189	95	9900	187	2562	421	100.0	8.81	100.0	Neural Network (Specific Model)	11.0	0.876	19189.0	272.7756004125534	6328946.0	0.51	6787.0		Y	N	SRR21141546	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.97	35.0	NA-NA	HIGH	NA-NA	35.0	33.672	11238/21223	97.97	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
