Sample	Reasons
SAMEA5161919	sylph_min_abundance
SAMN28743785	sylph_min_abundance
SAMN40951478	sylph_min_abundance
SAMN03568968	sylph_min_abundance
SAMN34233953	sylph_min_abundance;checkm2_max_contam
SAMN39918454	sylph_min_abundance;checkm2_max_contam
SAMEA115748632	checkm2_max_contam
SAMN41472137	sylph_min_abundance
SAMN34996574	sylph_min_abundance
SAMN13945531	checkm2_min_compl;checkm2_max_contam
SAMEA12816791	max_contig_num;checkm2_max_contam
SAMEA4781830	sylph_min_abundance
SAMN31564011	sylph_min_abundance
SAMN33142263	sylph_min_abundance;checkm2_min_compl
SAMN29151508	sylph_min_abundance;checkm2_max_contam
SAMN22105946	sylph_min_abundance
SAMN30951057	sylph_min_abundance;checkm2_max_contam
SAMD00758983	sylph_min_abundance
SAMEA7321623	sylph_min_abundance;checkm2_max_contam
SAMEA104114952	sylph_min_abundance
SAMN41760204	sylph_min_abundance
SAMN39580840	sylph_min_abundance
SAMEA5849388	sylph_min_abundance
SAMN31673385	checkm2_max_contam
SAMN15598676	sylph_min_abundance
SAMN41339026	sylph_min_abundance
SAMEA7549266	sylph_min_abundance;checkm2_max_contam
SAMEA7619908	sylph_min_abundance
SAMEA3168590	sylph_min_abundance;checkm2_max_contam
SAMN09954456	sylph_min_abundance
SAMN41498419	checkm2_max_contam
SAMN06817938	sylph_no_species_call
SAMEA4967706	sylph_min_abundance;checkm2_max_contam
SAMN22135331	sylph_min_abundance;checkm2_max_contam
SAMEA4726229	sylph_min_abundance
SAMEA1059563	sylph_min_abundance
SAMEA4832480	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMEA114462241	sylph_min_abundance
SAMN41759809	sylph_min_abundance
SAMEA114375797	sylph_min_abundance
SAMN35106854	checkm2_min_compl
SAMEA4620387	sylph_min_abundance
SAMN11109159	sylph_min_abundance;checkm2_max_contam
SAMEA4620161	sylph_min_abundance
SAMEA1711556	sylph_min_abundance;checkm2_max_contam
SAMEA4622171	sylph_min_abundance;checkm2_max_contam
SAMN02440777	sylph_min_abundance
SAMN31672769	sylph_min_abundance
SAMN04440836	sylph_min_abundance;checkm2_max_contam
SAMN24016625	sylph_no_species_call
SAMEA9334086	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMD00253561	sylph_no_species_call;checkm2_min_compl
SAMEA2299190	sylph_min_abundance
SAMEA104163914	min_N50;sylph_no_species_call;checkm2_no_diamond
SAMEA104305377	sylph_min_abundance
SAMEA103956099	sylph_min_abundance;checkm2_max_contam
SAMN41331213	sylph_min_abundance;checkm2_min_compl
SAMEA5979961	sylph_min_abundance
SAMN41595351	min_N50;sylph_min_abundance;checkm2_min_compl
SAMN27480352	sylph_min_abundance
SAMEA7623309	sylph_min_abundance
SAMN03074789	sylph_min_abundance
SAMEA104411845	sylph_min_abundance;checkm2_max_contam
SAMN08395628	sylph_min_abundance;checkm2_max_contam
SAMN06010351	sylph_min_abundance;checkm2_max_contam
SAMN41499036	sylph_no_species_call
SAMEA4966542	sylph_min_abundance
SAMEA1059664	sylph_min_abundance;checkm2_max_contam
SAMN09475981	max_contig_num;checkm2_max_contam
SAMEA104157022	sylph_min_abundance
SAMN11521230	sylph_min_abundance
SAMN41595416	sylph_min_abundance
SAMEA8932958	checkm2_max_contam
SAMN37736233	sylph_min_abundance
SAMEA8920558	sylph_min_abundance
SAMN41862471	checkm2_min_compl
SAMEA5751493	sylph_min_abundance
SAMN09468220	sylph_min_abundance
SAMN06330534	sylph_min_abundance;checkm2_max_contam
SAMN24180698	checkm2_min_compl
SAMEA7838251	sylph_min_abundance
SAMN41333839	sylph_min_abundance;checkm2_max_contam
SAMEA104128344	max_contig_num;min_N50;checkm2_max_contam
SAMEA104411605	sylph_min_abundance;checkm2_max_contam
SAMN03197036	sylph_min_abundance
SAMN14334643	max_contig_num;checkm2_max_contam
SAMN02403623	sylph_min_abundance
SAMEA114539226	sylph_min_abundance
SAMN08215174	sylph_min_abundance
SAMN35115976	sylph_min_abundance
SAMN35722686	sylph_min_abundance
SAMN39483230	sylph_min_abundance
SAMN05774326	sylph_min_abundance;checkm2_max_contam
SAMEA2696619	sylph_min_abundance
SAMN37150051	sylph_no_species_call
SAMN17708016	sylph_min_abundance
SAMN09995180	sylph_min_abundance
SAMEA2534022	checkm2_max_contam
SAMN37144439	sylph_no_species_call
SAMN41033052	sylph_min_abundance
SAMEA3736231	min_N50;checkm2_min_compl
SAMEA8610272	sylph_min_abundance;checkm2_max_contam
SAMEA10300226	sylph_min_abundance
SAMEA110665337	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN12302285	sylph_min_abundance
SAMEA5162445	sylph_min_abundance;checkm2_max_contam
SAMN29908129	sylph_min_abundance;checkm2_max_contam
SAMEA4832083	sylph_min_abundance
SAMEA114341819	max_contig_num;min_N50;checkm2_max_contam
SAMN41328329	sylph_min_abundance;checkm2_max_contam
SAMEA104411742	sylph_min_abundance
SAMN33406805	sylph_min_abundance;checkm2_max_contam
SAMN11822208	checkm2_min_compl
SAMN03476503	sylph_min_abundance
SAMN41330437	sylph_min_abundance
SAMEA1094354	sylph_min_abundance
SAMEA5419096	sylph_min_abundance
SAMN03466118	sylph_min_abundance;checkm2_max_contam
SAMN08163798	checkm2_min_compl
SAMN34996717	sylph_min_abundance
SAMEA2046328	sylph_min_abundance
SAMN37360466	checkm2_max_contam
SAMN41328621	sylph_min_abundance
SAMN37702478	max_contig_num;min_N50;checkm2_min_compl;checkm2_max_contam
SAMN27566174	checkm2_max_contam
SAMEA5378294	sylph_min_abundance
SAMN03222897	max_contig_num;checkm2_min_compl
SAMN10076119	sylph_min_abundance;checkm2_max_contam
SAMEA9334216	max_contig_num;checkm2_max_contam
SAMN34285029	sylph_min_abundance
SAMN18753463	checkm2_max_contam
SAMEA6623375	sylph_min_abundance;checkm2_max_contam
SAMN18146616	sylph_min_abundance;checkm2_max_contam
SAMN41339450	sylph_min_abundance;checkm2_min_compl
SAMN41760350	sylph_min_abundance
SAMN18118270	sylph_min_abundance
SAMN13813897	sylph_min_abundance;checkm2_max_contam
SAMEA6359781	sylph_min_abundance
SAMEA2275615	sylph_min_abundance
SAMEA6590937	sylph_min_abundance;checkm2_max_contam
SAMEA3157919	sylph_min_abundance;checkm2_max_contam
SAMEA111273047	sylph_min_abundance
SAMN16278033	checkm2_min_compl
SAMEA5694436	sylph_min_abundance;checkm2_max_contam
SAMN05916107	sylph_min_abundance
SAMN15891606	sylph_min_abundance
SAMEA2056197	sylph_min_abundance
SAMEA2393070	checkm2_max_contam
SAMN09233054	sylph_min_abundance;checkm2_max_contam
SAMN22202754	sylph_min_abundance;checkm2_max_contam
SAMEA7621843	sylph_min_abundance;checkm2_max_contam
SAMEA104148156	sylph_min_abundance
SAMN06650318	checkm2_min_compl
SAMEA4832307	sylph_min_abundance
SAMN08362494	sylph_no_species_call
SAMEA110665634	sylph_min_abundance;checkm2_max_contam
SAMEA8718425	checkm2_min_compl
SAMN04493492	sylph_min_abundance
SAMEA3720927	sylph_min_abundance
SAMN31673816	sylph_min_abundance;checkm2_max_contam
SAMN12374898	sylph_min_abundance
SAMN08828252	sylph_min_abundance;checkm2_max_contam
SAMN09232933	sylph_min_abundance;checkm2_min_compl;checkm2_max_contam
SAMN19375628	sylph_min_abundance;checkm2_max_contam
SAMEA5419329	sylph_min_abundance;checkm2_max_contam
SAMEA9992765	sylph_min_abundance
SAMN41328796	sylph_min_abundance
SAMEA5082112	sylph_min_abundance;checkm2_max_contam
SAMEA4560853	sylph_min_abundance
SAMEA6145378	max_contig_num;min_N50;checkm2_max_contam
SAMN23843965	max_contig_num;checkm2_max_contam
SAMEA8204037	sylph_min_abundance
SAMEA5164954	sylph_min_abundance;checkm2_max_contam
SAMN27308067	sylph_min_abundance
SAMN32025092	sylph_min_abundance;checkm2_min_compl
SAMEA3737176	min_N50;checkm2_min_compl
SAMN23038963	sylph_min_abundance
SAMEA114110122	sylph_min_abundance
SAMEA2055902	sylph_min_abundance
SAMEA110665128	sylph_min_abundance;checkm2_max_contam
SAMN14125795	sylph_min_abundance;checkm2_max_contam
SAMEA3304219	sylph_min_abundance
SAMEA3317727	sylph_min_abundance;checkm2_max_contam
SAMEA7615948	sylph_min_abundance;checkm2_max_contam
SAMN41760140	sylph_min_abundance
SAMN19243031	sylph_min_abundance
SAMN03083446	checkm2_min_compl
SAMEA6107549	sylph_min_abundance;checkm2_max_contam
SAMEA5542265	sylph_min_abundance;checkm2_max_contam
SAMN02194984	sylph_min_abundance
SAMEA4831226	sylph_min_abundance;checkm2_max_contam
SAMEA3168574	checkm2_max_contam
SAMEA10301931	checkm2_max_contam
SAMN24961107	checkm2_max_contam
SAMN05803822	sylph_min_abundance;checkm2_max_contam
SAMEA104703249	sylph_min_abundance
SAMEA14321188	max_contig_num;min_N50;sylph_min_abundance;checkm2_max_contam
SAMN06296378	sylph_min_abundance
SAMEA8609768	sylph_min_abundance
SAMN06477605	sylph_min_abundance;checkm2_max_contam
SAMEA4561602	checkm2_max_contam
SAMEA5378423	sylph_min_abundance
SAMN02404487	sylph_min_abundance
SAMN11847144	min_N50;checkm2_min_compl
SAMN09401123	checkm2_max_contam
SAMN02441109	checkm2_max_contam
SAMN09425801	sylph_min_abundance
SAMN32974742	sylph_min_abundance
SAMEA3719190	sylph_min_abundance;checkm2_max_contam
SAMEA6588792	sylph_min_abundance
SAMN16824766	sylph_min_abundance
SAMEA2437657	sylph_min_abundance
SAMEA2533828	checkm2_max_contam
SAMN14504447	sylph_min_abundance;checkm2_max_contam
SAMEA2267052	sylph_min_abundance
SAMN12501683	checkm2_max_contam
SAMN32816070	sylph_min_abundance;checkm2_max_contam
SAMN08912879	sylph_min_abundance;checkm2_max_contam
SAMEA3866161	sylph_min_abundance;checkm2_max_contam
SAMEA4831791	sylph_min_abundance;checkm2_max_contam
SAMN42498041	sylph_min_abundance
SAMEA104222023	checkm2_min_compl
SAMEA112661804	max_contig_num;checkm2_max_contam
SAMEA7554129	sylph_min_abundance
SAMN07659877	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMEA14035586	checkm2_min_compl
SAMN05428698	checkm2_min_compl
SAMN02745197	sylph_no_species_call;checkm2_min_compl
SAMEA104452085	sylph_min_abundance
SAMN18118360	sylph_min_abundance
SAMN13181355	sylph_min_abundance
SAMN41760326	sylph_min_abundance
SAMEA2240926	sylph_min_abundance
SAMEA104411749	sylph_min_abundance
SAMEA7113922	sylph_min_abundance
SAMEA5616430	max_contig_num;checkm2_max_contam
SAMEA5161657	sylph_min_abundance
SAMN20456394	checkm2_max_contam
SAMEA2061507	sylph_min_abundance;checkm2_max_contam
SAMEA115418840	sylph_min_abundance
SAMEA111270091	sylph_min_abundance
SAMN09756286	sylph_min_abundance;checkm2_max_contam
SAMN05443998	sylph_min_abundance;checkm2_max_contam
SAMEA110665481	sylph_min_abundance;checkm2_max_contam
SAMN36935801	sylph_min_abundance;checkm2_max_contam
SAMEA7565062	max_contig_num;min_N50;checkm2_max_contam
SAMN24016317	sylph_min_abundance
SAMEA114590998	sylph_min_abundance
SAMN18039757	sylph_min_abundance
SAMN09867652	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMEA5612778	sylph_min_abundance;checkm2_max_contam
SAMN04625239	sylph_min_abundance;checkm2_max_contam
SAMN22257380	sylph_min_abundance
SAMEA5532840	sylph_min_abundance;checkm2_max_contam
SAMN38514406	sylph_min_abundance
SAMN03765056	sylph_min_abundance
SAMEA1401149	sylph_min_abundance
SAMN37738639	sylph_min_abundance
SAMEA3431741	sylph_min_abundance
SAMN41332009	sylph_min_abundance
SAMEA7562923	sylph_min_abundance
SAMN18779722	sylph_min_abundance
SAMD00555759	sylph_min_abundance;checkm2_max_contam
SAMEA104694429	sylph_min_abundance;checkm2_max_contam
SAMEA111268925	sylph_min_abundance;checkm2_max_contam
SAMN02441458	sylph_no_species_call;checkm2_min_compl
SAMN38189871	sylph_min_abundance
SAMEA6587119	max_contig_num;min_N50;sylph_min_abundance;checkm2_max_contam
SAMN31407569	sylph_min_abundance;checkm2_max_contam
SAMEA1029544	sylph_min_abundance;checkm2_max_contam
SAMN08886669	checkm2_min_compl
SAMEA104305177	sylph_min_abundance;checkm2_max_contam
SAMN02593757	sylph_min_abundance
SAMN17097971	checkm2_min_compl
SAMN10659529	sylph_min_abundance;checkm2_max_contam
SAMN10907596	sylph_min_abundance;checkm2_max_contam
SAMN18191082	sylph_min_abundance;checkm2_max_contam
SAMN32927434	sylph_min_abundance
SAMEA115418828	sylph_min_abundance
SAMN00138952	sylph_min_abundance;checkm2_max_contam
SAMN41340379	sylph_min_abundance
SAMN03648761	sylph_min_abundance
SAMEA103954657	sylph_no_species_call
SAMN41327883	sylph_min_abundance
SAMN11043696	sylph_min_abundance;checkm2_max_contam
SAMEA5562682	max_contig_num;min_N50;checkm2_max_contam
SAMN17224757	sylph_min_abundance
SAMEA7621998	sylph_min_abundance
SAMEA104353254	sylph_min_abundance
SAMN35106904	sylph_min_abundance
SAMN41032626	sylph_min_abundance
SAMEA8741655	sylph_min_abundance
SAMN42002457	sylph_min_abundance;checkm2_max_contam
SAMN35361162	max_contig_num
SAMEA10634361	max_contig_num;min_N50;sylph_min_abundance;checkm2_max_contam
SAMEA5751094	sylph_min_abundance
SAMN00249586	min_N50;checkm2_min_compl
SAMN08691571	sylph_min_abundance
SAMEA2609442	sylph_min_abundance;checkm2_max_contam
SAMN02403471	sylph_min_abundance;checkm2_max_contam
SAMEA13293954	sylph_min_abundance;checkm2_max_contam
SAMEA6143771	checkm2_min_compl
SAMEA7549933	sylph_min_abundance;checkm2_max_contam
SAMN07762489	checkm2_min_compl
SAMN08912955	sylph_min_abundance;checkm2_max_contam
SAMEA5161729	sylph_min_abundance
SAMEA104157084	sylph_min_abundance;checkm2_min_compl
SAMEA12858009	sylph_min_abundance
SAMN02138641	sylph_min_abundance
SAMN16824551	sylph_min_abundance
SAMN13978664	checkm2_min_compl
SAMD00497751	sylph_min_abundance
SAMN04624485	sylph_min_abundance;checkm2_max_contam
SAMN41629931	sylph_min_abundance;checkm2_max_contam
SAMN17385458	checkm2_min_compl
SAMN03567941	sylph_min_abundance
SAMN41155863	checkm2_min_compl
SAMN07157231	sylph_min_abundance
SAMEA1102653	sylph_min_abundance
SAMEA7561187	sylph_min_abundance;checkm2_max_contam
SAMEA5185635	sylph_min_abundance;checkm2_max_contam
SAMN31576503	sylph_min_abundance;checkm2_max_contam
SAMEA5961565	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMEA110665186	sylph_min_abundance;checkm2_max_contam
SAMN32062191	sylph_min_abundance
SAMEA104411720	sylph_min_abundance
SAMN33406889	checkm2_min_compl
SAMN35706375	sylph_min_abundance;checkm2_max_contam
SAMEA4893396	max_contig_num;checkm2_max_contam
SAMN37720325	sylph_min_abundance;checkm2_max_contam
SAMN06173314	sylph_min_abundance
SAMEA104447620	checkm2_max_contam
SAMN41336636	sylph_min_abundance
SAMN11319351	sylph_min_abundance;checkm2_max_contam
SAMEA104305178	sylph_min_abundance
SAMN41759974	sylph_min_abundance
SAMN32145304	checkm2_max_contam
SAMN16796292	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN16824852	sylph_min_abundance
SAMN41759846	sylph_min_abundance
SAMEA104452027	sylph_min_abundance;checkm2_max_contam
SAMN21217067	sylph_min_abundance
SAMEA110665029	sylph_min_abundance
SAMN30150470	sylph_min_abundance
SAMN15599124	sylph_min_abundance;checkm2_max_contam
SAMN38764480	checkm2_max_contam
SAMEA4384663	sylph_min_abundance;checkm2_max_contam
SAMN01908898	sylph_min_abundance
SAMEA48241918	sylph_min_abundance;checkm2_max_contam
SAMEA14460510	checkm2_max_contam
SAMEA104567392	sylph_min_abundance;checkm2_max_contam
SAMN36995485	sylph_min_abundance;checkm2_min_compl
SAMN26366867	sylph_min_abundance
SAMN09433583	sylph_min_abundance;checkm2_max_contam
SAMN26645726	sylph_min_abundance
SAMN02194608	checkm2_max_contam
SAMEA4697639	checkm2_max_contam
SAMN27922004	checkm2_max_contam
SAMEA20015668	checkm2_min_compl
SAMEA4832695	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN09388534	sylph_min_abundance
SAMN02567717	checkm2_min_compl
SAMN40996234	sylph_min_abundance;checkm2_max_contam
SAMN02053762	sylph_min_abundance;checkm2_max_contam
SAMN08163886	checkm2_min_compl;checkm2_max_contam
SAMN36932286	checkm2_max_contam
SAMEA9967042	sylph_min_abundance;checkm2_max_contam
SAMEA7552433	sylph_min_abundance
SAMN21208619	sylph_min_abundance
SAMN18146709	checkm2_min_compl
SAMEA7530621	sylph_min_abundance;checkm2_max_contam
SAMEA112282165	sylph_min_abundance
SAMN33326274	sylph_min_abundance
SAMN26369067	sylph_min_abundance
SAMN13568460	checkm2_max_contam
SAMEA114863125	sylph_min_abundance;checkm2_max_contam
SAMEA4063408	sylph_min_abundance;checkm2_max_contam
SAMEA111269862	sylph_min_abundance
SAMEA2299157	sylph_min_abundance
SAMN14127629	sylph_min_abundance
SAMEA7356812	sylph_min_abundance;checkm2_max_contam
SAMEA5957627	checkm2_min_compl
SAMN15180180	sylph_min_abundance
SAMEA5556099	sylph_min_abundance
SAMEA5968618	checkm2_max_contam
SAMEA2738439	sylph_min_abundance
SAMEA113537654	sylph_min_abundance
SAMN07660319	sylph_min_abundance
SAMN31673798	sylph_min_abundance;checkm2_max_contam
SAMN10098028	sylph_min_abundance
SAMN09238280	max_contig_num;checkm2_max_contam
SAMN03473885	sylph_min_abundance
SAMEA115592469	sylph_min_abundance;checkm2_max_contam
SAMEA104317668	sylph_min_abundance
SAMN23388494	min_N50;sylph_min_abundance;checkm2_min_compl
SAMN32535223	max_contig_num
SAMN41328368	sylph_min_abundance;checkm2_min_compl
SAMN24579158	max_contig_num;checkm2_max_contam
SAMN12875359	sylph_min_abundance
SAMN41498828	max_contig_num;sylph_no_species_call;checkm2_min_compl
SAMEA1557241	sylph_min_abundance
SAMN22202860	sylph_min_abundance;checkm2_max_contam
SAMEA115749579	checkm2_min_compl
SAMN41328805	sylph_min_abundance
SAMEA4830930	sylph_min_abundance
SAMN34372488	max_contig_num;checkm2_min_compl
SAMEA112960943	checkm2_max_contam
SAMN03197213	sylph_min_abundance
SAMN25849909	sylph_min_abundance
SAMEA114462045	sylph_min_abundance;checkm2_max_contam
SAMN18146707	sylph_min_abundance;checkm2_max_contam
SAMN41760275	checkm2_max_contam
SAMN08886284	checkm2_min_compl
SAMN11847656	sylph_min_abundance
SAMN16616545	sylph_min_abundance
SAMN02745251	max_contig_num;min_N50;checkm2_min_compl
SAMN41594040	sylph_min_abundance;checkm2_max_contam
SAMEA8609857	sylph_min_abundance
SAMEA4781651	sylph_min_abundance
SAMEA6434691	sylph_min_abundance
SAMN23771387	sylph_min_abundance;checkm2_max_contam
SAMEA2709859	sylph_min_abundance;checkm2_max_contam
SAMN41139900	sylph_min_abundance
SAMN41327800	sylph_min_abundance
SAMN35153856	sylph_min_abundance;checkm2_max_contam
SAMN41335907	checkm2_max_contam
SAMN09504435	sylph_min_abundance;checkm2_max_contam
SAMN04423059	sylph_min_abundance;checkm2_max_contam
SAMN08912947	sylph_min_abundance;checkm2_max_contam
SAMN37096777	sylph_min_abundance
SAMEA4977947	checkm2_max_contam
SAMN18118098	sylph_min_abundance
SAMD00012830	checkm2_max_contam
SAMEA104362251	sylph_min_abundance
SAMEA4926630	checkm2_max_contam
SAMEA104719789	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMEA1398201	max_contig_num;checkm2_max_contam
SAMEA9699080	checkm2_max_contam
SAMEA8264132	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMEA104567426	sylph_min_abundance;checkm2_max_contam
SAMEA110360009	max_contig_num;checkm2_max_contam
SAMN41139665	sylph_min_abundance
SAMN31805392	sylph_min_abundance
SAMEA4946122	checkm2_min_compl
SAMN26422216	max_contig_num;min_N50;checkm2_max_contam
SAMD00575312	sylph_no_species_call
SAMEA2713470	sylph_min_abundance;checkm2_max_contam
SAMN13335991	max_contig_num;checkm2_max_contam
SAMEA4966122	max_contig_num;min_N50;checkm2_max_contam
SAMEA110448873	sylph_min_abundance;checkm2_max_contam
SAMEA111271207	checkm2_max_contam
SAMEA6139282	min_N50;sylph_no_species_call;checkm2_no_diamond
SAMEA115738646	sylph_min_abundance
SAMN03068693	sylph_more_than_one_species
SAMEA111269670	sylph_min_abundance;checkm2_max_contam
SAMEA8271959	sylph_min_abundance
SAMN07660095	min_N50;sylph_min_abundance;checkm2_min_compl
SAMN41331961	checkm2_min_compl
SAMN03359750	sylph_min_abundance
SAMN02745524	sylph_min_abundance;checkm2_min_compl
SAMN41498486	sylph_min_abundance
SAMEA5162178	sylph_min_abundance
SAMEA5378001	sylph_min_abundance
SAMEA5694480	sylph_min_abundance
SAMN35004659	max_contig_num;min_N50;checkm2_max_contam
SAMEA115606415	sylph_min_abundance
SAMEA111266663	sylph_min_abundance
SAMEA114226898	sylph_min_abundance;checkm2_max_contam
SAMN07762205	checkm2_min_compl
SAMN33940759	sylph_min_abundance
SAMEA2821890	sylph_min_abundance;checkm2_max_contam
SAMN14165468	sylph_min_abundance
SAMN05969976	sylph_min_abundance;checkm2_max_contam
SAMEA104447034	checkm2_max_contam
SAMN13293518	sylph_min_abundance
SAMEA5545306	sylph_min_abundance;checkm2_max_contam
SAMN25999842	sylph_min_abundance
SAMN06555552	sylph_min_abundance;checkm2_max_contam
SAMEA104163895	min_N50;sylph_no_species_call;checkm2_no_diamond
SAMEA7529957	sylph_min_abundance;checkm2_max_contam
SAMN20967273	min_N50;checkm2_min_compl
SAMEA104411860	sylph_min_abundance;checkm2_max_contam
SAMEA6359744	sylph_min_abundance
SAMN41338996	sylph_min_abundance
SAMEA1025351	sylph_min_abundance
SAMEA4967396	sylph_min_abundance
SAMN06437933	sylph_min_abundance;checkm2_max_contam
SAMEA7192620	min_N50;sylph_no_species_call;checkm2_no_diamond
SAMEA6623384	sylph_min_abundance
SAMN41336722	sylph_min_abundance
SAMN41339282	sylph_min_abundance
SAMN41390063	sylph_min_abundance;checkm2_max_contam
SAMN07153088	sylph_min_abundance;checkm2_max_contam
SAMEA8610589	sylph_min_abundance;checkm2_max_contam
SAMN08039863	checkm2_min_compl
SAMEA91115668	max_contig_num;checkm2_max_contam
SAMN37209989	max_contig_num
SAMN06457298	checkm2_min_compl
SAMEA1029153	sylph_min_abundance;checkm2_max_contam
SAMEA5621946	sylph_min_abundance;checkm2_max_contam
SAMN04458289	sylph_min_abundance;checkm2_max_contam
SAMEA112486663	checkm2_max_contam
SAMN38709845	sylph_no_species_call
SAMN03791426	checkm2_min_compl;checkm2_max_contam
SAMD00320888	sylph_min_abundance;checkm2_max_contam
SAMN28537949	sylph_min_abundance
SAMN41496514	sylph_no_species_call;checkm2_max_contam
SAMN05276409	sylph_min_abundance
SAMN41333041	sylph_min_abundance
SAMEA5050663	sylph_min_abundance;checkm2_max_contam
SAMN06473513	sylph_min_abundance
SAMN41516384	sylph_min_abundance;checkm2_max_contam
SAMN39688579	sylph_no_species_call
SAMN27356614	sylph_min_abundance;checkm2_max_contam
SAMN08436106	checkm2_min_compl
SAMN34233963	min_N50;sylph_min_abundance;checkm2_min_compl
SAMEA5875930	max_contig_num
SAMN39999250	sylph_min_abundance
SAMN34252197	sylph_min_abundance
SAMN12374093	sylph_min_abundance;checkm2_max_contam
SAMN31209175	sylph_min_abundance
SAMEA111267473	sylph_min_abundance;checkm2_max_contam
SAMN11017952	checkm2_max_contam
SAMN30543270	sylph_min_abundance;checkm2_max_contam
SAMN22334437	sylph_min_abundance;checkm2_max_contam
SAMN10358972	checkm2_min_compl
SAMN33240653	sylph_min_abundance
SAMN09290339	max_contig_num
SAMN15904759	checkm2_min_compl
SAMN15904675	sylph_min_abundance
SAMN37069437	checkm2_max_contam
SAMN15891591	sylph_min_abundance
SAMN02199014	checkm2_max_contam
SAMEA1677387	sylph_min_abundance
SAMEA7555141	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMEA4781019	sylph_min_abundance
SAMEA2738504	sylph_min_abundance
SAMEA8701188	checkm2_max_contam
SAMEA6587181	sylph_min_abundance;checkm2_max_contam
SAMN04572686	checkm2_max_contam
SAMEA110665707	sylph_min_abundance;checkm2_max_contam
SAMN22841106	sylph_min_abundance
SAMEA7550489	sylph_min_abundance
SAMEA115092773	max_contig_num;min_N50;checkm2_max_contam
SAMN24547503	sylph_min_abundance
SAMN12670473	checkm2_max_contam
SAMN08886624	checkm2_min_compl
SAMN18117905	sylph_min_abundance
SAMN05202171	sylph_min_abundance;checkm2_max_contam
SAMN17211698	sylph_min_abundance
SAMN11268644	sylph_min_abundance;checkm2_max_contam
SAMN02441263	checkm2_min_compl
SAMN38228217	sylph_min_abundance
SAMEA2015977	sylph_min_abundance
SAMN02086226	sylph_min_abundance
SAMN23555601	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMEA4673232	sylph_min_abundance
SAMEA12854697	checkm2_max_contam
SAMEA2743719	checkm2_min_compl
SAMN25999984	sylph_min_abundance
SAMEA5977275	sylph_min_abundance
SAMN38224362	sylph_min_abundance
SAMN41330209	checkm2_min_compl
SAMEA5968655	sylph_min_abundance
SAMN32508757	max_contig_num;checkm2_max_contam
SAMEA113533324	max_contig_num
SAMEA7472353	sylph_no_species_call
SAMN33240295	sylph_min_abundance;checkm2_max_contam
SAMEA8994369	sylph_min_abundance
SAMEA104447413	max_contig_num;checkm2_max_contam
SAMEA7455189	sylph_min_abundance;checkm2_max_contam
SAMN41759982	sylph_min_abundance
SAMEA104447321	checkm2_max_contam
SAMN40273390	checkm2_max_contam
SAMEA114470274	sylph_min_abundance;checkm2_max_contam
SAMN41332267	sylph_min_abundance
SAMN15567077	sylph_min_abundance
SAMEA5379031	sylph_min_abundance;checkm2_max_contam
SAMEA5751167	sylph_min_abundance
SAMN34041898	sylph_min_abundance;checkm2_max_contam
SAMEA5419221	sylph_min_abundance
SAMN08913278	sylph_min_abundance;checkm2_max_contam
SAMN38185078	sylph_no_species_call
SAMEA10331197	sylph_min_abundance
SAMEA110347113	sylph_min_abundance;checkm2_max_contam
SAMN26000005	sylph_min_abundance
SAMEA3389024	sylph_min_abundance
SAMEA4831231	sylph_min_abundance;checkm2_max_contam
SAMEA112802613	checkm2_min_compl
SAMN08886656	checkm2_min_compl
SAMN41471893	sylph_min_abundance
SAMEA7620626	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN03761677	sylph_no_species_call
SAMEA7622919	max_contig_num;min_N50;sylph_min_abundance;checkm2_max_contam
SAMN14146953	sylph_min_abundance
SAMEA6240907	sylph_min_abundance
SAMEA897792	sylph_min_abundance;checkm2_max_contam
SAMEA3208767	sylph_min_abundance
SAMEA104197145	max_contig_num;checkm2_max_contam
SAMN24674385	sylph_min_abundance;checkm2_max_contam
SAMN26896049	checkm2_min_compl
SAMN07659468	sylph_min_abundance
SAMEA5162517	sylph_min_abundance
SAMEA3231264	min_N50;sylph_min_abundance;checkm2_min_compl
SAMEA104411910	sylph_min_abundance;checkm2_max_contam
SAMN42353894	min_N50;checkm2_min_compl
SAMN41332333	sylph_min_abundance;checkm2_min_compl
SAMEA7537467	sylph_min_abundance;checkm2_max_contam
SAMEA4548999	sylph_min_abundance
SAMN02922217	sylph_min_abundance
SAMN09232823	checkm2_min_compl
SAMN16409259	sylph_min_abundance
SAMN37179242	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN11846048	sylph_min_abundance
SAMN41496662	sylph_min_abundance
SAMEA1117787	sylph_min_abundance;checkm2_max_contam
SAMN08913101	sylph_min_abundance;checkm2_max_contam
SAMEA110665091	sylph_min_abundance
SAMN09767158	sylph_min_abundance
