sample	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n	Sample	Species	HQ	hq_set
SAMD00499820	5178036	158	32772.38	466127	206	0	0	187307	9	102456	16	41716	32	SAMD00499820	Escherichia coli	T	good_samples
SAMN35714674	1829191	96	19054.07	384802	201	0	0	162234	4	109902	7	28296	13	SAMN35714674	Campylobacter_D coli	T	good_samples
SAMEA5732084	4644190	122	38067.13	417763	204	0	0	180935	9	140773	14	40284	28	SAMEA5732084	Escherichia coli	T	good_samples
SAMN03466265	4909885	90	54554.28	476572	201	0	0	148171	10	110053	18	50640	31	SAMN03466265	Salmonella enterica	T	good_samples
SAMN08795200	4335450	176	24633.24	156509	233	200	2	56225	28	39491	45	16015	78	SAMN08795200	Mycobacterium tuberculosis	T	good_samples
SAMN23242880	5475976	46	119042.96	880506	223	0	0	347970	5	251438	9	84978	17	SAMN23242880	Mycobacterium intracellulare	T	good_samples
SAMEA2073666	2083973	145	14372.23	161835	200	0	0	41554	17	28474	29	9568	52	SAMEA2073666	Neisseria meningitidis	T	good_samples
SAMN22334445	2476363	20	123818.15	500890	208	0	0	280171	4	208701	6	161044	8	SAMN22334445	Cutibacterium acnes	T	good_samples
SAMD00018522	2323990	171	13590.58	201132	202	0	0	34074	18	19501	37	9385	71	SAMD00018522	Porphyromonas gingivalis	T	good_samples
SAMN28103298	4755650	52	91454.81	794800	201	0	0	380096	5	333923	7	92461	14	SAMN28103298	Salmonella enterica	T	good_samples
SAMN32678581	4983703	55	90612.78	945019	220	0	0	478724	4	299894	7	89136	12	SAMN32678581	Salmonella enterica	T	good_samples
SAMN11846822	5672436	533	10642.47	215266	212	0	0	53858	34	31403	61	4909	160	SAMN11846822	Bacteroides salyersiae	T	good_samples
SAMN41413494	5435363	419	12972.23	374913	200	0	0	111257	14	58431	26	16546	54	SAMN41413494	Escherichia coli	T	good_samples
SAMN39081402	1739538	26	66905.31	584422	208	0	0	332487	2	156237	4	84716	8	SAMN39081402	Campylobacter_D jejuni	T	good_samples
SAMN07212735	5317297	37	143710.73	1217571	204	100	1	593581	3	395627	6	137335	10	SAMN07212735	Klebsiella aerogenes	T	good_samples
SAMD00018519	2323577	172	13509.17	109079	200	0	0	41828	20	20805	36	9653	67	SAMD00018519	Porphyromonas gingivalis	T	good_samples
SAMN14488124	4883293	128	38150.73	582333	202	0	0	193684	8	102701	15	48373	28	SAMN14488124	Escherichia coli	T	good_samples
SAMN29504617	4562512	38	120066.11	1237227	226	0	0	700839	3	683392	4	383909	6	SAMN29504617	Salmonella enterica	T	good_samples
SAMN16497765	2198027	150	14653.51	154234	205	0	0	60144	13	39366	23	14507	41	SAMN16497765	Neisseria gonorrhoeae	T	good_samples
SAMEA110378758	2926401	20	146320.05	1502122	203	0	0	1502122	1	377077	3	208467	5	SAMEA110378758	Listeria monocytogenes	T	good_samples
SAMEA3489179	1707832	32	53369.75	316946	201	0	0	180043	4	126541	6	92602	9	SAMEA3489179	Campylobacter_D jejuni	T	good_samples
SAMN05336752	2759973	26	106152.81	1008108	231	0	0	608001	2	243129	4	177079	6	SAMN05336752	Staphylococcus aureus	T	good_samples
SAMEA1569582	2851606	55	51847.38	490771	218	0	0	264514	4	159189	7	38033	15	SAMEA1569582	Staphylococcus aureus	T	good_samples
SAMN36316927	2851893	28	101853.32	748795	253	0	0	371383	3	271175	5	108377	8	SAMN36316927	Staphylococcus aureus	T	good_samples
SAMEA6625448	7083920	188	37680.43	394039	200	0	0	145535	16	109270	27	56106	46	SAMEA6625448	Burkholderia mallei	T	good_samples
SAMEA4533706	5104830	99	51563.94	682767	215	300	3	360177	5	171799	10	67227	19	SAMEA4533706	Escherichia coli	T	good_samples
SAMEA5671248	4985597	94	53038.27	549862	210	0	0	205083	7	138891	13	74800	23	SAMEA5671248	Salmonella enterica	T	good_samples
SAMEA104081686	2188692	120	18239.1	207327	201	0	0	59048	12	41075	21	16828	39	SAMEA104081686	Neisseria gonorrhoeae	T	good_samples
SAMN41765020	2106502	67	31440.33	247925	235	0	0	89408	8	54892	14	34832	24	SAMN41765020	Streptococcus pneumoniae	T	good_samples
SAMN38199096	6299855	72	87497.99	915917	205	0	0	454073	5	408727	8	155376	13	SAMN38199096	Pseudomonas aeruginosa	T	good_samples
SAMN00103468	4325275	176	24575.43	405689	201	0	0	135116	10	75458	19	35652	35	SAMN00103468	Flavonifractor plautii	T	good_samples
SAMEA4361523	6081657	126	48267.12	530711	202	0	0	183290	11	100732	20	47281	36	SAMEA4361523	Pseudomonas_E alloputida	T	good_samples
SAMN13150894	4951978	93	53247.08	1801129	202	0	0	424385	3	316984	5	84283	13	SAMN13150894	Salmonella enterica	T	good_samples
SAMEA112846513	2100757	157	13380.62	207951	200	0	0	49271	13	34950	24	11875	43	SAMEA112846513	Neisseria gonorrhoeae	T	good_samples
SAMN20967004	5744214	320	17950.67	307143	200	0	0	161575	13	84092	23	18709	51	SAMN20967004	Klebsiella quasipneumoniae	T	good_samples
SAMEA4695249	4360565	128	34066.91	222941	248	0	0	106196	13	64190	24	28146	43	SAMEA4695249	Mycobacterium tuberculosis	T	good_samples
SAMN04459935	3957538	115	34413.37	257459	201	0	0	99190	14	55697	25	22114	45	SAMN04459935	Clostridioides difficile	T	good_samples
SAMEA114528027	4888095	113	43257.48	725145	207	0	0	268559	6	173088	11	78861	19	SAMEA114528027	Salmonella enterica	T	good_samples
SAMN34417361	4981439	83	60017.34	400384	211	0	0	193022	9	127897	15	62834	27	SAMN34417361	Salmonella enterica	T	good_samples
SAMEA114441344	2182038	152	14355.51	185138	201	0	0	64146	10	44731	19	11450	37	SAMEA114441344	Streptococcus pneumoniae	T	good_samples
SAMN17914249	1743749	33	52840.88	410228	244	0	0	166776	4	98880	6	39543	13	SAMN17914249	Campylobacter_D jejuni	T	good_samples
SAMN03285095	4920092	81	60741.88	717568	203	0	0	377447	5	188809	9	59219	17	SAMN03285095	Salmonella enterica	T	good_samples
SAMN20090367	5760406	191	30159.19	328797	201	0	0	129477	14	96314	25	34960	43	SAMN20090367	Klebsiella pneumoniae	T	good_samples
SAMN12335357	4713224	61	77265.97	897616	201	0	0	556958	4	438935	6	149655	9	SAMN12335357	Salmonella enterica	T	good_samples
SAMN31098689	4972554	188	26449.76	345279	217	0	0	145168	13	63192	24	27872	46	SAMN31098689	Escherichia coli	T	good_samples
SAMN12127193	4523684	76	59522.16	697239	200	0	0	214094	7	143986	11	59409	20	SAMN12127193	Salmonella enterica	T	good_samples
SAMEA115626369	5201973	125	41615.78	395784	201	0	0	191131	10	126898	16	33227	29	SAMEA115626369	Escherichia coli	T	good_samples
SAMEA111523811	5438005	156	34859.01	587133	201	0	0	230746	8	189254	13	48239	26	SAMEA111523811	Klebsiella pneumoniae	T	good_samples
SAMN11457304	5474365	373	14676.58	237197	201	0	0	102881	16	59551	30	19488	57	SAMN11457304	Escherichia coli	T	good_samples
SAMN20400641	4791073	54	88723.57	1173646	213	0	0	535939	3	430489	5	151165	9	SAMN20400641	Salmonella enterica	T	good_samples
SAMN10449203	5530824	448	12345.59	313069	205	0	0	135712	13	59347	24	21334	54	SAMN10449203	Escherichia coli	T	good_samples
SAMN03862027	5395192	316	17073.39	392417	200	100	1	147583	11	97467	20	26324	41	SAMN03862027	Escherichia coli	T	good_samples
SAMN25995825	2676213	139	19253.33	316459	211	0	0	78066	11	40586	22	15360	42	SAMN25995825	Mannheimia haemolytica	T	good_samples
SAMN22259702	2744423	191	14368.71	227821	200	0	0	97142	9	68854	16	25535	27	SAMN22259702	Flavobacterium psychrophilum	T	good_samples
SAMEA3216057	2771942	36	76998.39	506233	220	0	0	347087	4	171554	6	61117	11	SAMEA3216057	Staphylococcus aureus	T	good_samples
SAMN07454400	5294544	289	18320.22	455727	200	0	0	184158	10	79760	20	29561	42	SAMN07454400	Escherichia coli	T	good_samples
SAMN16615321	5710465	171	33394.53	450322	203	0	0	150663	13	97472	22	33754	41	SAMN16615321	Klebsiella pneumoniae	T	good_samples
SAMN38144797	4610645	62	74365.24	1154677	206	0	0	657595	3	385486	5	147563	8	SAMN38144797	Salmonella enterica	T	good_samples
SAMN17570604	6254834	88	71077.66	687603	252	0	0	345090	7	210127	12	78177	21	SAMN17570604	Pseudomonas aeruginosa	T	good_samples
SAMN06033912	4775733	91	52480.58	452249	201	300	3	117003	12	72137	23	37921	40	SAMN06033912	Salmonella enterica	T	good_samples
SAMEA6265059	4713745	69	68315.14	466577	205	0	0	173486	9	143385	15	54683	27	SAMEA6265059	Salmonella enterica	T	good_samples
SAMN12659220	1616156	27	59857.63	285505	232	0	0	191658	4	150152	6	105626	8	SAMN12659220	Campylobacter_D jejuni	T	good_samples
SAMN25989243	5846121	243	24058.11	373971	201	0	0	145085	11	99476	21	33349	38	SAMN25989243	Klebsiella pneumoniae	T	good_samples
SAMN16113663	4745811	77	61633.91	629350	201	0	0	201671	7	148163	13	70763	22	SAMN16113663	Salmonella enterica	T	good_samples
SAMN07817029	3075574	251	12253.28	181022	201	0	0	48177	19	22682	38	7251	79	SAMN07817029	Enterococcus_B faecium	T	good_samples
SAMN21880277	4272276	126	33906.95	227645	224	0	0	80036	18	47896	32	25314	56	SAMN21880277	Mycobacterium tuberculosis	T	good_samples
SAMEA11322480	2763986	117	23623.81	194537	204	0	0	59782	15	35391	27	13375	50	SAMEA11322480	Staphylococcus aureus	T	good_samples
SAMN05379546	4793966	96	49937.15	350005	212	100	1	113461	14	71057	25	36166	43	SAMN05379546	Salmonella enterica	T	good_samples
SAMN41776049	5033567	89	56556.93	748890	220	0	0	280025	6	135228	11	65082	22	SAMN41776049	Salmonella enterica	T	good_samples
SAMN12501632	6284744	95	66155.2	484446	204	0	0	136724	12	88168	23	42673	43	SAMN12501632	Pseudomonas aeruginosa	T	good_samples
SAMN18875230	5207404	202	25779.23	429188	200	0	0	200496	9	125201	15	38615	31	SAMN18875230	Escherichia coli	T	good_samples
SAMN41516028	4880807	128	38131.3	524426	203	0	0	175988	9	118977	16	43635	28	SAMN41516028	Escherichia coli	T	good_samples
SAMN08922671	4762294	76	62661.76	394844	236	0	0	193830	9	125680	16	62916	27	SAMN08922671	Salmonella enterica	T	good_samples
SAMN31579323	2819148	93	30313.42	212772	229	0	0	77458	12	48621	21	21120	37	SAMN31579323	Staphylococcus aureus	T	good_samples
SAMEA111362733	2656231	38	69900.82	834856	207	0	0	345012	3	251252	4	90258	9	SAMEA111362733	Staphylococcus aureus	T	good_samples
SAMN10622135	4925022	143	34440.71	295353	218	0	0	129867	15	60797	25	31552	47	SAMN10622135	Salmonella enterica	T	good_samples
SAMEA6516572	2727158	37	73706.97	596759	222	0	0	382544	3	329980	5	106262	8	SAMEA6516572	Staphylococcus aureus	T	good_samples
SAMEA6500201	2006547	54	37158.28	289440	207	0	0	120706	6	81871	10	41934	16	SAMEA6500201	Streptococcus pneumoniae	T	good_samples
SAMN03276104	5087734	125	40701.87	292278	220	0	0	127494	13	80135	23	31684	43	SAMN03276104	Salmonella enterica	T	good_samples
SAMN31098743	4593834	75	61251.12	436869	220	0	0	209069	8	135244	13	76377	22	SAMN31098743	Escherichia coli	T	good_samples
SAMEA1877805	5689691	113	50351.25	639334	201	0	0	228830	9	108736	18	42299	32	SAMEA1877805	Klebsiella pneumoniae	T	good_samples
SAMN02919045	4768442	62	76910.35	869563	225	0	0	322596	4	199490	8	139314	14	SAMN02919045	Salmonella enterica	T	good_samples
SAMN10723574	4832242	225	21476.63	288842	200	0	0	66543	20	44012	38	17653	69	SAMN10723574	Escherichia coli	T	good_samples
SAMEA5751849	5188296	53	97892.38	1376290	207	0	0	445767	4	367269	6	133332	10	SAMEA5751849	Klebsiella pneumoniae	T	good_samples
SAMN11258004	4823409	57	84621.21	1284487	222	0	0	729063	3	429268	5	154369	8	SAMN11258004	Salmonella enterica	T	good_samples
SAMN07660014	4354590	194	22446.34	162711	204	100	1	47643	29	34088	51	15523	86	SAMN07660014	Mycobacterium tuberculosis	T	good_samples
SAMEA112805478	4367768	107	40820.26	372308	202	0	0	125394	11	103283	19	43813	31	SAMEA112805478	Mycobacterium tuberculosis	T	good_samples
SAMD00009272	2080639	52	40012.29	284761	219	0	0	84836	8	66955	14	45578	21	SAMD00009272	Streptococcus suis	T	good_samples
SAMN18129137	4810237	73	65893.66	623378	200	0	0	274037	6	148148	12	69651	21	SAMN18129137	Salmonella enterica	T	good_samples
SAMEA1688547	4322343	118	36630.03	281328	200	0	0	101744	15	81240	24	36555	39	SAMEA1688547	Mycobacterium tuberculosis	T	good_samples
SAMN32513367	5240157	118	44408.11	772967	208	0	0	256003	6	134308	12	55206	23	SAMN32513367	Escherichia coli	T	good_samples
SAMEA4590026	3948542	361	10937.79	77938	200	0	0	27378	47	17794	83	7740	148	SAMEA4590026	Xanthomonas fragariae	T	good_samples
SAMN20167793	5182913	97	53432.09	683940	202	0	0	395192	5	168157	9	83040	17	SAMN20167793	Vibrio parahaemolyticus	T	good_samples
SAMEA111269473	5128748	113	45387.15	525706	205	0	0	302510	7	152602	11	75237	21	SAMEA111269473	Escherichia coli	T	good_samples
SAMEA5672966	2820308	87	32417.33	281114	201	0	0	95353	10	54916	18	26281	32	SAMEA5672966	Staphylococcus aureus	T	good_samples
SAMEA1317188	2767327	49	56476.06	409403	203	0	0	187604	5	129466	9	43940	18	SAMEA1317188	Staphylococcus aureus	T	good_samples
SAMN27589669	4794133	81	59186.83	353348	202	0	0	154197	12	115790	19	45720	31	SAMN27589669	Salmonella enterica	T	good_samples
SAMN39441321	1802456	31	58143.74	451709	219	0	0	119269	4	97596	7	53587	12	SAMN39441321	Streptococcus pyogenes	T	good_samples
SAMEA8892696	4423976	536	8253.69	84617	202	0	0	22250	58	12262	112	4832	219	SAMEA8892696	Escherichia coli	T	good_samples
SAMN17472541	4306519	149	28902.81	212231	207	0	0	69271	18	48381	33	17661	60	SAMN17472541	Mycobacterium tuberculosis	T	good_samples
SAMN37529099	4542217	45	100938.16	544360	222	0	0	281117	6	174648	10	94945	16	SAMN37529099	Salmonella enterica	T	good_samples
SAMEA112954349	4299798	111	38736.92	256805	255	0	0	134063	12	64298	22	37870	38	SAMEA112954349	Mycobacterium tuberculosis	T	good_samples
SAMN12631221	5105514	82	62262.37	492543	200	0	0	163236	9	120496	16	57448	27	SAMN12631221	Salmonella enterica	T	good_samples
SAMN41596235	4911289	99	49608.98	393923	202	0	0	151328	10	103261	17	44951	30	SAMN41596235	Salmonella enterica	T	good_samples
SAMN37573376	4042352	106	38135.4	632633	209	0	0	250094	5	168788	8	92076	14	SAMN37573376	Vibrio cholerae	T	good_samples
SAMN09388956	4731614	78	60661.72	444053	203	0	0	182280	8	122081	14	58834	23	SAMN09388956	Salmonella enterica	T	good_samples
SAMN05339792	2777546	30	92584.87	696443	218	0	0	509963	3	157758	4	79034	9	SAMN05339792	Staphylococcus aureus	T	good_samples
SAMN07678807	5083867	262	19404.07	212779	201	0	0	66832	23	36250	45	17308	83	SAMN07678807	Escherichia coli	T	good_samples
SAMN19033009	5587097	390	14325.89	318404	205	0	0	112866	16	72811	28	15503	60	SAMN19033009	Escherichia coli	T	good_samples
SAMN19669618	4712165	58	81244.22	1411688	201	0	0	497622	3	335916	5	180352	9	SAMN19669618	Salmonella enterica	T	good_samples
SAMEA6514580	4992301	84	59432.15	682009	223	0	0	225779	6	172370	11	74800	20	SAMEA6514580	Salmonella enterica	T	good_samples
SAMEA2173471	1661630	22	75528.64	381010	327	0	0	229351	3	163446	5	102827	8	SAMEA2173471	Campylobacter_D coli	T	good_samples
SAMN29681477	4954440	160	30965.25	516001	202	0	0	349329	6	189953	10	57764	19	SAMN29681477	Salmonella enterica	T	good_samples
SAMN09839437	2180838	159	13715.96	189769	213	0	0	40557	16	24628	30	11238	55	SAMN09839437	Neisseria gonorrhoeae	T	good_samples
SAMN14118086	1648418	24	68684.08	371266	412	0	0	178270	3	95036	6	43071	11	SAMN14118086	Campylobacter_D jejuni	T	good_samples
SAMEA104156870	19948	29	687.86	6196	204	0	0	1403	3	629	7	223	20				good_samples
SAMEA2682694	4320085	119	36303.24	281799	200	0	0	101744	15	87578	24	32762	39	SAMEA2682694	Mycobacterium tuberculosis	T	good_samples
SAMN14390534	4852067	63	77016.94	914386	203	0	0	293493	5	182990	9	108639	16	SAMN14390534	Salmonella enterica	T	good_samples
SAMN40420038	5378529	110	48895.72	768853	202	0	0	423407	5	197341	8	66907	17	SAMN40420038	Salmonella enterica	T	good_samples
SAMEA111386034	2523416	167	15110.28	260454	200	0	0	57632	13	31399	24	13369	47	SAMEA111386034	Staphylococcus haemolyticus	T	good_samples
SAMEA2534347	4348512	150	28990.08	204812	200	100	1	70118	19	44837	34	19407	62	SAMEA2534347	Mycobacterium tuberculosis	T	good_samples
SAMN07532277	1784627	41	43527.49	280342	262	300	3	174662	4	92819	7	46849	12	SAMN07532277	Campylobacter_D coli	T	good_samples
SAMN40477153	5614892	183	30682.47	383365	204	0	0	148027	11	87305	22	26614	43	SAMN40477153	Klebsiella pneumoniae	T	good_samples
SAMN35645356	4024155	80	50301.94	544228	210	0	0	158247	7	104797	14	46577	25	SAMN35645356	Clostridioides difficile	T	good_samples
SAMN09384852	2141018	61	35098.66	409953	235	0	0	127316	5	64167	11	22281	22	SAMN09384852	Streptococcus agalactiae	T	good_samples
SAMEA111274103	5429007	180	30161.15	645197	201	0	0	259683	7	140361	14	52867	28	SAMEA111274103	Escherichia coli	T	good_samples
SAMN19658056	4360200	108	40372.22	245580	223	0	0	100734	13	66007	23	33694	40	SAMN19658056	Mycobacterium tuberculosis	T	good_samples
SAMN12663057	1715198	37	46356.7	339679	257	0	0	184497	4	97088	6	74924	10	SAMN12663057	Campylobacter_D jejuni	T	good_samples
SAMEA8997990	2796633	191	14642.06	131557	200	0	0	47614	19	33556	33	14744	56	SAMEA8997990	Listeria innocua	T	good_samples
SAMN37691987	4767800	62	76900.0	1118197	211	0	0	438210	4	330365	6	150977	10	SAMN37691987	Salmonella enterica	T	good_samples
SAMN20297957	5084708	92	55268.57	690304	201	0	0	312461	6	158606	10	55003	21	SAMN20297957	Vibrio parahaemolyticus	T	good_samples
SAMEA115029676	2082025	49	42490.31	581493	214	0	0	118890	5	59730	10	33614	19	SAMEA115029676	Streptococcus pneumoniae	T	good_samples
SAMN05757740	5009931	107	46821.79	541778	206	300	3	138731	10	95914	19	39320	36	SAMN05757740	Escherichia coli	T	good_samples
SAMN03478084	4700166	65	72310.25	933319	219	0	0	226426	6	122841	12	67766	22	SAMN03478084	Salmonella enterica	T	good_samples
SAMN02364078	4352660	133	32726.77	233602	200	0	0	93979	17	60664	29	26811	50	SAMN02364078	Mycobacterium tuberculosis	T	good_samples
SAMN10959394	4833922	92	52542.63	951805	202	0	0	227429	6	137985	11	73926	21	SAMN10959394	Salmonella enterica	T	good_samples
SAMEA1522036	4967180	127	39111.65	441878	201	0	0	176677	11	101916	18	44687	32	SAMEA1522036	Salmonella enterica	T	good_samples
SAMN19657960	4370520	121	36120.0	295653	208	0	0	104514	15	71749	25	31718	41	SAMN19657960	Mycobacterium tuberculosis	T	good_samples
SAMN27959463	4546102	83	54772.31	678577	207	0	0	265292	6	204822	9	90912	16	SAMN27959463	Salmonella enterica	T	good_samples
SAMEA2070415	5086863	51	99742.41	672851	250	0	0	388960	5	250671	9	109469	14	SAMEA2070415	Mycobacterium abscessus	T	good_samples
SAMN20085020	5659844	493	11480.41	615824	200	0	0	142946	12	73049	23	14162	51	SAMN20085020	Escherichia coli	T	good_samples
SAMEA5061517	3473678	43	80783.21	540715	217	0	0	237526	5	196261	8	80104	12	SAMEA5061517	Legionella fraseri	T	good_samples
SAMEA115744754	4369410	118	37028.9	253936	220	0	0	99167	14	65217	25	32303	41	SAMEA115744754	Mycobacterium tuberculosis	T	good_samples
SAMN22255193	2159212	204	10584.37	122363	205	0	0	41164	17	23890	30	9821	55	SAMN22255193	Neisseria gonorrhoeae	T	good_samples
SAMN03285304	3020338	29	104149.59	979559	201	0	0	506125	3	355676	4	151346	6	SAMN03285304	Listeria monocytogenes_B	T	good_samples
SAMN13175774	4585661	170	26974.48	217993	201	0	0	64359	22	42501	40	18961	70	SAMN13175774	Salmonella enterica	T	good_samples
SAMEA112804845	4305924	161	26744.87	204762	221	0	0	65293	22	42741	37	19437	65	SAMEA112804845	Mycobacterium tuberculosis	T	good_samples
SAMN36620849	2118412	142	14918.39	207919	201	0	0	78994	10	49032	17	18315	31	SAMN36620849	Neisseria gonorrhoeae	T	good_samples
SAMN17981873	5294550	86	61564.53	1276806	201	0	0	716701	3	234403	6	88449	13	SAMN17981873	Klebsiella aerogenes	T	good_samples
SAMN23565687	2155619	119	18114.45	207969	200	0	0	88392	8	39685	16	21409	30	SAMN23565687	Neisseria gonorrhoeae	T	good_samples
SAMN08299210	2149402	51	42145.14	361709	213	0	0	173568	5	93368	8	37350	16	SAMN08299210	Neisseria weaveri	T	good_samples
SAMN27097585	1781457	98	18178.13	316863	200	0	0	117432	5	79637	9	46990	14	SAMN27097585	Campylobacter_D jejuni	T	good_samples
SAMN10436179	6454108	180	35856.16	346348	207	0	0	123932	17	64945	34	29848	62	SAMN10436179	Pseudomonas aeruginosa_A	T	good_samples
SAMN29048932	1774057	52	34116.48	187616	212	0	0	128199	6	93542	10	59503	14	SAMN29048932	Campylobacter_D jejuni	T	good_samples
SAMN07678539	5108171	105	48649.25	490924	202	0	0	188951	10	109095	17	46325	30	SAMN07678539	Escherichia coli	T	good_samples
SAMEA1025961	2070752	173	11969.66	104383	200	0	0	29928	22	20005	39	7544	69	SAMEA1025961	Streptococcus pneumoniae	T	good_samples
SAMEA104312566	4235361	50	84707.22	700550	203	0	0	244955	5	226956	8	114712	13	SAMEA104312566	Elizabethkingia anophelis	T	good_samples
SAMN29128073	2843908	187	15208.06	190586	211	0	0	48510	19	30575	33	12144	64	SAMN29128073	Enterococcus_B faecium	T	good_samples
SAMN11962649	2936994	61	48147.44	268620	255	0	0	119527	9	79088	14	34673	25	SAMN11962649	Listeria monocytogenes_B	T	good_samples
SAMN38373038	2735700	37	73937.84	720721	204	0	0	325569	3	151086	5	78541	10	SAMN38373038	Staphylococcus aureus	T	good_samples
SAMN07415505	5012201	72	69613.9	1123749	211	0	0	440582	4	324583	6	86764	13	SAMN07415505	Salmonella enterica	T	good_samples
SAMN13915770	4649194	52	89407.58	1245582	226	0	0	678487	3	671522	4	147621	7	SAMN13915770	Salmonella enterica	T	good_samples
SAMEA9966733	4898637	94	52113.16	595166	200	0	0	225796	7	169151	11	81522	20	SAMEA9966733	Salmonella enterica	T	good_samples
SAMN32721259	4972151	105	47353.82	843194	201	0	0	172464	9	118654	15	53529	28	SAMN32721259	Salmonella enterica	T	good_samples
SAMN28450140	5401871	317	17040.6	375926	200	0	0	142618	12	93581	22	40760	40	SAMN28450140	Escherichia coli	T	good_samples
SAMEA104412361	5017309	121	41465.36	628422	201	0	0	165080	9	101755	17	44687	32	SAMEA104412361	Salmonella enterica	T	good_samples
SAMN03996912	2830391	115	24612.1	157666	263	100	1	75178	14	39897	25	13005	48	SAMN03996912	Staphylococcus aureus	T	good_samples
SAMEA115707225	3026826	249	12155.93	129780	200	0	0	35745	25	20647	47	6730	93	SAMEA115707225	Enterococcus_B faecium	T	good_samples
SAMEA115427618	5692409	152	37450.06	932831	204	0	0	236399	6	106345	13	38980	30	SAMEA115427618	Klebsiella pneumoniae	T	good_samples
SAMEA4542423	2096585	46	45577.93	590751	215	0	0	226615	3	120600	6	36909	12	SAMEA4542423	Neisseria bergeri	T	good_samples
SAMN19971515	5521955	630	8765.01	247145	201	0	0	118031	17	68248	29	15511	59	SAMN19971515	Escherichia coli	T	good_samples
SAMN15542879	4707611	64	73556.42	1083886	201	0	0	244339	4	161402	9	111466	15	SAMN15542879	Salmonella enterica	T	good_samples
SAMEA1706671	4308513	217	19854.9	123129	207	0	0	47637	31	31334	53	12333	95	SAMEA1706671	Mycobacterium tuberculosis	T	good_samples
SAMN13895222	1778492	40	44462.3	189342	219	0	0	115211	6	93480	9	31587	15	SAMN13895222	Campylobacter_D jejuni	T	good_samples
SAMEA111482328	5018904	109	46044.99	398470	218	0	0	160792	10	104219	18	39975	33	SAMEA111482328	Salmonella enterica	T	good_samples
SAMN41409978	4980962	115	43312.71	600512	201	0	0	192276	8	102465	15	52426	29	SAMN41409978	Salmonella enterica	T	good_samples
SAMEA3981082	4867380	145	33568.14	307106	202	0	0	107585	15	66433	26	23305	47	SAMEA3981082	Escherichia coli	T	good_samples
SAMN20568285	4882056	62	78742.84	643575	213	0	0	313817	6	217659	10	77105	17	SAMN20568285	Salmonella enterica	T	good_samples
SAMN35716431	4732931	45	105176.24	1508708	201	0	0	421568	3	228064	6	122881	13	SAMN35716431	Salmonella enterica	T	good_samples
SAMEA7617468	4368288	126	34668.95	230971	208	0	0	94066	17	60105	29	26915	48	SAMEA7617468	Mycobacterium tuberculosis	T	good_samples
SAMEA112801378	4398256	136	32340.12	295585	200	0	0	97470	16	64476	28	26388	49	SAMEA112801378	Mycobacterium tuberculosis	T	good_samples
SAMEA4043696	2116171	50	42323.42	289019	260	0	0	100349	7	70121	12	25064	22	SAMEA4043696	Streptococcus agalactiae	T	good_samples
SAMD00136973	5462356	439	12442.72	375079	200	0	0	182824	10	95424	19	25123	40	SAMD00136973	Escherichia coli	T	good_samples
SAMEA8999969	5672865	318	17839.2	352661	200	0	0	119901	17	80982	28	25514	52	SAMEA8999969	Escherichia coli	T	good_samples
SAMN03476403	4714724	78	60445.18	452543	201	0	0	177488	9	101027	16	62792	26	SAMN03476403	Salmonella enterica	T	good_samples
SAMN09722770	4734084	48	98626.75	800045	221	0	0	401055	5	171262	9	73675	16	SAMN09722770	Salmonella enterica	T	good_samples
SAMEA2078037	3533222	74	47746.24	239806	206	0	0	86321	14	52985	24	28255	42	SAMEA2078037	Legionella pneumophila	T	good_samples
SAMN09941067	1634998	44	37159.05	155963	329	0	0	89046	7	55703	12	28020	20	SAMN09941067	Campylobacter_D jejuni	T	good_samples
SAMN22631072	3016706	217	13901.87	148129	200	0	0	39044	22	24521	41	10701	77	SAMN22631072	Enterococcus_B faecium	T	good_samples
SAMN21389100	4772464	73	65376.22	428340	200	0	0	215288	8	150901	13	77331	22	SAMN21389100	Salmonella enterica	T	good_samples
SAMN10686081	2521044	120	21008.7	287568	200	0	0	76498	9	54389	17	26082	30	SAMN10686081	Staphylococcus pseudintermedius	T	good_samples
SAMEA113939657	5157775	146	35327.23	593220	204	0	0	203369	8	132518	14	52440	25	SAMEA113939657	Escherichia coli	T	good_samples
SAMN31792239	4807827	106	45356.86	560993	206	0	0	222976	7	126374	13	53203	24	SAMN31792239	Salmonella enterica	T	good_samples
SAMN20695306	4781755	56	85388.48	1298894	207	0	0	692552	3	689381	4	174407	7	SAMN20695306	Salmonella enterica	T	good_samples
SAMN31423577	4361468	159	27430.62	205057	202	0	0	78351	20	49494	34	21188	59	SAMN31423577	Mycobacterium tuberculosis	T	good_samples
SAMEA5161562	5689820	223	25514.89	432628	210	0	0	260362	9	129794	16	47812	30	SAMEA5161562	Klebsiella pneumoniae	T	good_samples
SAMN23566088	2075677	204	10174.89	97515	205	0	0	34290	20	16438	37	7003	76	SAMN23566088	Neisseria gonorrhoeae	T	good_samples
SAMEA112868166	2530423	68	37212.1	344779	215	0	0	152572	6	112573	10	39060	18	SAMEA112868166	Mannheimia haemolytica	T	good_samples
SAMN41452530	4995974	317	15760.17	340016	200	0	0	86148	18	53639	32	18550	59	SAMN41452530	Escherichia coli	T	good_samples
SAMN09675100	4734749	40	118368.73	1509055	210	100	1	490145	3	401282	5	153352	9	SAMN09675100	Salmonella enterica	T	good_samples
